category,source_file,source_column,output_column,frequency,aggregation,availability_rule,role,include,reason
other_metals,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/lme_other_metals_daily.csv,lead_3_month_usd_per_ton,lead_3_month_usd_per_ton,daily,exclude,same_month,feature,False,Excluded by project decision.
other_metals,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/lme_other_metals_daily.csv,lead_cash_usd_per_ton,lead_cash_usd_per_ton,daily,monthly_mean,same_month,feature,True,
other_metals,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/lme_other_metals_daily.csv,lead_stock_ton,lead_stock_ton,daily,month_end_last,same_month,feature,True,
other_metals,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/lme_other_metals_daily.csv,nickel_3_month_usd_per_ton,nickel_3_month_usd_per_ton,daily,exclude,same_month,feature,False,Excluded by project decision.
other_metals,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/lme_other_metals_daily.csv,nickel_cash_usd_per_ton,nickel_cash_usd_per_ton,daily,monthly_mean,same_month,feature,True,
other_metals,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/lme_other_metals_daily.csv,nickel_stock_ton,nickel_stock_ton,daily,month_end_last,same_month,feature,True,
other_metals,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/lme_other_metals_daily.csv,tin_3_month_usd_per_ton,tin_3_month_usd_per_ton,daily,exclude,same_month,feature,False,Excluded by project decision.
other_metals,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/lme_other_metals_daily.csv,tin_cash_usd_per_ton,tin_cash_usd_per_ton,daily,monthly_mean,same_month,feature,True,
other_metals,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/lme_other_metals_daily.csv,tin_stock_ton,tin_stock_ton,daily,month_end_last,same_month,feature,True,
other_metals,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/lme_other_metals_daily.csv,zinc_3_month_usd_per_ton,zinc_3_month_usd_per_ton,daily,exclude,same_month,feature,False,Excluded by project decision.
other_metals,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/lme_other_metals_daily.csv,zinc_cash_usd_per_ton,zinc_cash_usd_per_ton,daily,monthly_mean,same_month,feature,True,
other_metals,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/lme_other_metals_daily.csv,zinc_stock_ton,zinc_stock_ton,daily,month_end_last,same_month,feature,True,
other_metals,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/palladium_daily.csv,palladium_usd_per_troy_ounce,palladium_usd_per_troy_ounce,daily,monthly_mean,same_month,feature,True,
peru_cost_drivers,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/peru_copper_cost_drivers_monthly.csv,peru_diesel_price_index,peru_diesel_price_index,monthly,as_is,native_month,feature,True,
peru_cost_drivers,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/peru_copper_cost_drivers_monthly.csv,peru_formal_private_income_pen,peru_formal_private_income_pen,monthly,as_is,native_month,feature,True,
peru_cost_drivers,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/peru_copper_cost_drivers_monthly.csv,peru_industrial_electricity_tariff_index,peru_industrial_electricity_tariff_index,monthly,as_is,native_month,feature,True,
peru_cost_drivers,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/peru_copper_cost_drivers_monthly.csv,peru_usd_pen,peru_usd_pen,monthly,as_is,native_month,feature,True,
peru_mining,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/peru_copper_mining_annual.csv,peru_copper_production_ton,peru_copper_production_ton,annual,repeat_within_year,observation_year,feature,True,
peru_mining,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/peru_copper_mining_annual.csv,peru_copper_production_yoy_pct,peru_copper_production_yoy_pct,annual,repeat_within_year,observation_year,feature,True,
peru_mining,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/peru_copper_mining_annual.csv,peru_mining_employment,peru_mining_employment,annual,repeat_within_year,observation_year,feature,True,
peru_mining,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/peru_copper_mining_annual.csv,peru_mining_employment_yoy_pct,peru_mining_employment_yoy_pct,annual,repeat_within_year,observation_year,feature,True,
risk,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/risk/economic_policy_uncertainty_monthly.csv,global_economic_policy_uncertainty_index,global_economic_policy_uncertainty_index,monthly,as_is,native_month,feature,True,
risk,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/risk/economic_policy_uncertainty_monthly.csv,global_economic_policy_uncertainty_ppp_index,global_economic_policy_uncertainty_ppp_index,monthly,as_is,native_month,feature,True,
risk,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/risk/geopolitical_risk_monthly.csv,geopolitical_acts_index,geopolitical_acts_index,monthly,as_is,native_month,feature,True,
risk,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/risk/geopolitical_risk_monthly.csv,geopolitical_risk_index,geopolitical_risk_index,monthly,as_is,native_month,feature,True,
risk,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/risk/geopolitical_risk_monthly.csv,geopolitical_threats_index,geopolitical_threats_index,monthly,as_is,native_month,feature,True,
shipping,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/shipping/baltic_dry_index_daily.csv,baltic_dry_index,baltic_dry_index,daily,monthly_mean,same_month,feature,True,
shipping,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/shipping/portwatch_shipping_activity_daily.csv,china_copper_related_dry_bulk_export,china_copper_related_dry_bulk_export,daily,monthly_sum,same_month,feature,True,
shipping,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/shipping/portwatch_shipping_activity_daily.csv,china_copper_related_dry_bulk_import,china_copper_related_dry_bulk_import,daily,monthly_sum,same_month,feature,True,
shipping,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/shipping/portwatch_shipping_activity_daily.csv,china_copper_related_dry_bulk_portcalls,china_copper_related_dry_bulk_portcalls,daily,monthly_sum,same_month,feature,True,
shipping,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/shipping/portwatch_shipping_activity_daily.csv,china_copper_related_portcalls,china_copper_related_portcalls,daily,monthly_sum,same_month,feature,True,
shipping,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/shipping/portwatch_shipping_activity_daily.csv,copper_supply_dry_bulk_export,copper_supply_dry_bulk_export,daily,monthly_sum,same_month,feature,True,
shipping,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/shipping/portwatch_shipping_activity_daily.csv,copper_supply_dry_bulk_import,copper_supply_dry_bulk_import,daily,monthly_sum,same_month,feature,True,
shipping,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/shipping/portwatch_shipping_activity_daily.csv,copper_supply_dry_bulk_portcalls,copper_supply_dry_bulk_portcalls,daily,monthly_sum,same_month,feature,True,
shipping,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/shipping/portwatch_shipping_activity_daily.csv,copper_supply_portcalls,copper_supply_portcalls,daily,monthly_sum,same_month,feature,True,
shipping,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/shipping/portwatch_shipping_activity_daily.csv,global_cargo_portcalls,global_cargo_portcalls,daily,monthly_sum,same_month,feature,True,
shipping,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/shipping/portwatch_shipping_activity_daily.csv,global_container_export,global_container_export,daily,monthly_sum,same_month,feature,True,
shipping,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/shipping/portwatch_shipping_activity_daily.csv,global_container_import,global_container_import,daily,monthly_sum,same_month,feature,True,
shipping,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/shipping/portwatch_shipping_activity_daily.csv,global_container_portcalls,global_container_portcalls,daily,monthly_sum,same_month,feature,True,
shipping,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/shipping/portwatch_shipping_activity_daily.csv,global_dry_bulk_export,global_dry_bulk_export,daily,monthly_sum,same_month,feature,True,
shipping,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/shipping/portwatch_shipping_activity_daily.csv,global_dry_bulk_import,global_dry_bulk_import,daily,monthly_sum,same_month,feature,True,
shipping,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/shipping/portwatch_shipping_activity_daily.csv,global_dry_bulk_portcalls,global_dry_bulk_portcalls,daily,monthly_sum,same_month,feature,True,
shipping,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/shipping/portwatch_shipping_activity_daily.csv,global_export,global_export,daily,monthly_sum,same_month,feature,True,
shipping,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/shipping/portwatch_shipping_activity_daily.csv,global_import,global_import,daily,monthly_sum,same_month,feature,True,
shipping,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/shipping/portwatch_shipping_activity_daily.csv,global_portcalls,global_portcalls,daily,monthly_sum,same_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_capacity_basic_metals_percent,turkey_capacity_basic_metals_percent,monthly,as_is,native_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_capacity_electrical_equipment_percent,turkey_capacity_electrical_equipment_percent,monthly,as_is,native_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_capacity_fabricated_metals_percent,turkey_capacity_fabricated_metals_percent,monthly,as_is,native_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_capacity_intermediate_goods_percent,turkey_capacity_intermediate_goods_percent,monthly,as_is,native_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_capacity_investment_goods_percent,turkey_capacity_investment_goods_percent,monthly,as_is,native_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_capacity_machinery_percent,turkey_capacity_machinery_percent,monthly,as_is,native_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_capacity_motor_vehicles_percent,turkey_capacity_motor_vehicles_percent,monthly,as_is,native_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_consumer_confidence_index,turkey_consumer_confidence_index,monthly,as_is,native_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_cpi_index,turkey_cpi_index,monthly,as_is,native_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_domestic_ppi_index,turkey_domestic_ppi_index,monthly,as_is,native_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_eur_try_monthly_average,turkey_eur_try_monthly_average,monthly,as_is,native_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_exports_usd,turkey_exports_usd,monthly,as_is,native_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_foreign_trade_balance_usd,turkey_foreign_trade_balance_usd,monthly,as_is,native_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_imports_usd,turkey_imports_usd,monthly,as_is,native_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_manufacturing_capacity_utilization_percent,turkey_manufacturing_capacity_utilization_percent,monthly,as_is,native_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_ppi_basic_metals_index,turkey_ppi_basic_metals_index,monthly,as_is,native_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_ppi_electrical_equipment_index,turkey_ppi_electrical_equipment_index,monthly,as_is,native_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_ppi_household_appliances_index,turkey_ppi_household_appliances_index,monthly,as_is,native_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_ppi_metal_ores_index,turkey_ppi_metal_ores_index,monthly,as_is,native_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_ppi_motor_vehicles_index,turkey_ppi_motor_vehicles_index,monthly,as_is,native_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_ppi_nonferrous_metal_ores_index,turkey_ppi_nonferrous_metal_ores_index,monthly,as_is,native_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_ppi_nonferrous_metals_index,turkey_ppi_nonferrous_metals_index,monthly,as_is,native_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_ppi_wire_cable_index,turkey_ppi_wire_cable_index,monthly,as_is,native_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_real_sector_confidence_index,turkey_real_sector_confidence_index,monthly,as_is,native_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_unemployment_rate_percent,turkey_unemployment_rate_percent,monthly,as_is,native_month,feature,True,
turkey,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/turkey_monthly.csv,turkey_usd_try_monthly_average,turkey_usd_try_monthly_average,monthly,as_is,native_month,feature,True,
usgs,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/usgs_copper_annual.csv,is_estimate,is_estimate,annual,repeat_within_year,observation_year,feature,True,
usgs,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/usgs_copper_annual.csv,world_copper_mine_production_ton,world_copper_mine_production_ton,annual,repeat_within_year,observation_year,feature,True,
usgs,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/usgs_copper_annual.csv,world_copper_refinery_production_ton,world_copper_refinery_production_ton,annual,repeat_within_year,observation_year,feature,True,
usgs,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/usgs_copper_annual.csv,world_copper_reserves_ton,world_copper_reserves_ton,annual,repeat_within_year,observation_year,feature,True,
