date,geopolitical_risk_index,geopolitical_threats_index,geopolitical_acts_index
1985-01-01,102.17337799072266,107.57417297363281,89.64749145507812
1985-02-01,117.10202026367188,126.4427261352539,96.60166931152344
1985-03-01,124.77815246582031,127.07085418701172,116.98727416992188
1985-04-01,87.92900085449219,94.64019775390625,73.75779724121094
1985-05-01,103.26284790039062,111.15978240966797,92.27672576904297
1985-06-01,148.78282165527344,134.65670776367188,174.1437530517578
1985-07-01,133.90542602539062,126.30107879638672,149.5423583984375
1985-08-01,82.78410339355469,75.26383972167969,84.87953186035156
1985-09-01,102.43449401855469,101.56950378417969,92.48631286621094
1985-10-01,105.99191284179688,91.34220886230469,118.73129272460938
1985-11-01,94.84818267822266,98.25837707519531,80.12213897705078
1985-12-01,96.4211654663086,80.3045654296875,111.21063232421875
1986-01-01,135.36074829101562,137.66831970214844,166.0226287841797
1986-02-01,98.75003051757812,84.02117919921875,114.81560516357422
1986-03-01,98.67667388916016,85.12946319580078,117.56116485595703
1986-04-01,148.31385803222656,142.49339294433594,182.87278747558594
1986-05-01,117.38924407958984,126.68498992919922,114.20220947265625
1986-06-01,96.29425048828125,106.94334411621094,80.0658187866211
1986-07-01,94.70178985595703,99.80805206298828,83.9753189086914
1986-08-01,103.34593963623047,104.75926971435547,99.84519958496094
1986-09-01,117.1078872680664,106.35902404785156,126.74607849121094
1986-10-01,96.79243469238281,109.01692199707031,77.40582275390625
1986-11-01,109.77281951904297,124.65135192871094,89.47162628173828
1986-12-01,89.75377655029297,93.46377563476562,78.10250091552734
1987-01-01,96.94281768798828,90.4955062866211,104.48915100097656
1987-02-01,100.683349609375,109.72402954101562,89.29598236083984
1987-03-01,89.60771942138672,105.55125427246094,67.09355163574219
1987-04-01,113.39408111572266,117.12814331054688,99.12645721435547
1987-05-01,98.65091705322266,97.37140655517578,95.23518371582031
1987-06-01,94.18240356445312,99.82925415039062,81.82940673828125
1987-07-01,98.87196350097656,107.52894592285156,88.26481628417969
1987-08-01,99.96844482421875,115.48031616210938,87.60133361816406
1987-09-01,121.16707611083984,143.4519805908203,97.5398178100586
1987-10-01,101.05858612060547,110.70101928710938,88.82691192626953
1987-11-01,96.15348815917969,110.79949951171875,75.88374328613281
1987-12-01,109.85638427734375,124.4972915649414,88.26872253417969
1988-01-01,83.20153045654297,87.14092254638672,72.89557647705078
1988-02-01,86.20614624023438,90.18925476074219,73.8230972290039
1988-03-01,110.20651245117188,105.9420166015625,109.30101776123047
1988-04-01,119.45051574707031,113.93638610839844,128.48338317871094
1988-05-01,104.87347412109375,106.54883575439453,97.1541748046875
1988-06-01,79.70812225341797,74.01183319091797,81.0764389038086
1988-07-01,83.43048095703125,70.79203796386719,96.27418518066406
1988-08-01,84.05416107177734,73.71106719970703,93.28092193603516
1988-09-01,74.84265899658203,72.93437957763672,74.3477783203125
1988-10-01,73.45023345947266,71.80867004394531,65.83024597167969
1988-11-01,68.79841613769531,55.85908508300781,77.55838012695312
1988-12-01,90.39871978759766,82.27973937988281,94.38412475585938
1989-01-01,89.24658966064453,89.09522247314453,82.81503295898438
1989-02-01,91.6185531616211,88.43746948242188,91.77456665039062
1989-03-01,87.73377227783203,79.90110778808594,93.08662414550781
1989-04-01,83.57909393310547,77.83438873291016,84.56328582763672
1989-05-01,103.82850646972656,116.75053405761719,80.26698303222656
1989-06-01,89.46155548095703,97.67894744873047,68.48663330078125
1989-07-01,84.75310516357422,84.32604217529297,78.8324966430664
1989-08-01,109.17729187011719,115.9572525024414,115.18624114990234
1989-09-01,85.54584503173828,79.4195785522461,88.94374084472656
1989-10-01,69.52467346191406,68.15611267089844,64.53548431396484
1989-11-01,92.8287124633789,71.7497329711914,112.52256774902344
1989-12-01,112.55352783203125,101.52501678466797,128.65443420410156
1990-01-01,81.5440444946289,76.01142120361328,80.72607421875
1990-02-01,77.40721130371094,81.10881042480469,65.3890380859375
1990-03-01,67.5919418334961,68.18672180175781,59.72285842895508
1990-04-01,81.64384460449219,97.97654724121094,54.79267120361328
1990-05-01,86.40711975097656,97.81657409667969,66.84378051757812
1990-06-01,79.68110656738281,72.84642028808594,80.65287780761719
1990-07-01,85.78742980957031,82.36925506591797,81.84713745117188
1990-08-01,250.45108032226562,353.76312255859375,128.2501983642578
1990-09-01,188.66053771972656,262.1236267089844,106.9548110961914
1990-10-01,143.85256958007812,172.9463653564453,105.10758972167969
1990-11-01,158.74354553222656,201.18106079101562,115.40345764160156
1990-12-01,153.1624298095703,194.64852905273438,103.18325805664062
1991-01-01,379.2497863769531,360.0328063964844,479.7158508300781
1991-02-01,339.3580322265625,253.7916259765625,490.27374267578125
1991-03-01,148.61831665039062,133.98248291015625,171.39544677734375
1991-04-01,97.760009765625,100.77496337890625,88.50554656982422
1991-05-01,88.56902313232422,95.45738983154297,79.06768798828125
1991-06-01,87.73383331298828,99.7988510131836,69.48858642578125
1991-07-01,115.18467712402344,144.65106201171875,84.731201171875
1991-08-01,113.49502563476562,133.4146728515625,87.34529113769531
1991-09-01,117.94219207763672,154.14364624023438,74.79663848876953
1991-10-01,100.8318099975586,122.6444320678711,77.95648193359375
1991-11-01,100.7423324584961,120.3302230834961,77.58206176757812
1991-12-01,103.96953582763672,135.23251342773438,58.747432708740234
1992-01-01,102.95763397216797,126.1564712524414,69.45668029785156
1992-02-01,87.2034683227539,101.0959701538086,62.860504150390625
1992-03-01,85.29731750488281,107.12957000732422,53.69252014160156
1992-04-01,85.85562133789062,92.64119720458984,74.40125274658203
1992-05-01,78.96814727783203,93.08229064941406,56.43539047241211
1992-06-01,93.84909057617188,124.33613586425781,49.73001480102539
1992-07-01,75.19676971435547,92.42886352539062,51.642940521240234
1992-08-01,81.64519500732422,87.55679321289062,70.1595230102539
1992-09-01,74.6097183227539,92.68926239013672,45.73872375488281
1992-10-01,68.18277740478516,71.33625793457031,58.99306106567383
1992-11-01,91.00899505615234,109.6229248046875,68.5569076538086
1992-12-01,83.42096710205078,97.29403686523438,60.88547134399414
1993-01-01,128.91807556152344,144.89353942871094,114.82777404785156
1993-02-01,90.46806335449219,105.26100158691406,64.63740539550781
1993-03-01,94.24144744873047,99.9146728515625,80.28809356689453
1993-04-01,112.72166442871094,144.0390167236328,72.71391296386719
1993-05-01,110.72975158691406,137.38629150390625,77.88386535644531
1993-06-01,104.19525146484375,125.46405029296875,73.33211517333984
1993-07-01,123.31478881835938,131.75840759277344,107.0821533203125
1993-08-01,97.2416763305664,97.08562469482422,94.7355728149414
1993-09-01,89.16477966308594,97.45659637451172,76.93018341064453
1993-10-01,106.16590881347656,130.3068084716797,65.22377014160156
1993-11-01,83.48017883300781,105.1309585571289,51.35593795776367
1993-12-01,79.55179595947266,97.06568145751953,50.134674072265625
1994-01-01,83.48997497558594,93.09183502197266,65.27042388916016
1994-02-01,117.2420654296875,148.14723205566406,76.48810577392578
1994-03-01,93.47403717041016,98.56234741210938,79.4195327758789
1994-04-01,95.35697174072266,116.44586181640625,68.70893859863281
1994-05-01,104.46678924560547,122.97669982910156,73.90620422363281
1994-06-01,120.35224151611328,148.2960662841797,79.9498519897461
1994-07-01,99.6402359008789,115.40325927734375,75.47087860107422
1994-08-01,98.2270278930664,122.92201232910156,66.64015197753906
1994-09-01,98.89848327636719,131.31796264648438,51.336830139160156
1994-10-01,94.85363006591797,118.89933776855469,64.50569152832031
