date,global_economic_policy_uncertainty_index,global_economic_policy_uncertainty_ppp_index
1997-01-01,77.59255058560618,81.83133599326386
1997-02-01,77.92197938624899,78.88492875831257
1997-03-01,68.7960295583882,68.23191285211122
1997-04-01,73.75483593099494,75.23871835220314
1997-05-01,77.32838889888141,84.73477785503981
1997-06-01,81.30599630793989,86.19366089634072
1997-07-01,66.57158702897001,67.42961055790448
1997-08-01,63.85466082624257,61.05945602563403
1997-09-01,66.04883359570695,62.19497292267968
1997-10-01,80.7264239358131,76.54753615643139
1997-11-01,95.66167648132983,86.08303150122752
1997-12-01,111.5289180114851,98.09798614410815
1998-01-01,102.2184711277206,93.12704834245429
1998-02-01,83.61127948164412,78.27277771919879
1998-03-01,87.56813290941629,82.73080796363494
1998-04-01,80.21354731462037,75.42605308355944
1998-05-01,85.31679847511597,81.68653147583515
1998-06-01,84.50949581235433,80.90995947191509
1998-07-01,103.2064183238029,97.69120661941446
1998-08-01,114.6574321594405,108.6425255366846
1998-09-01,150.1582818681705,153.7790404368127
1998-10-01,119.2168100014969,112.7969899840551
1998-11-01,101.0953083484351,97.1139019983421
1998-12-01,97.15794505611805,97.22305028075945
1999-01-01,100.1541483862684,98.52108826591282
1999-02-01,79.66238502371345,76.3168684080986
1999-03-01,63.49925649408512,59.02688845267184
1999-04-01,67.25566893174015,66.58477492152073
1999-05-01,69.24411939449834,68.18112188740969
1999-06-01,71.18625400660541,69.95224487845147
1999-07-01,72.73928785996536,72.05626874878566
1999-08-01,67.2866408767418,71.18328681532736
1999-09-01,69.6606903499881,68.76580223446044
1999-10-01,67.00314734675854,68.88113280563024
1999-11-01,69.66609178593839,67.86033682617081
1999-12-01,62.74045344144746,61.59647649702261
2000-01-01,67.11836687367816,69.21836012114646
2000-02-01,62.25512547184814,60.29834708058097
2000-03-01,62.94545901767569,61.79349511054022
2000-04-01,65.18867878593299,61.9695933335657
2000-05-01,87.87262358374875,84.05388345991017
2000-06-01,90.53432797832386,86.4300861847908
2000-07-01,68.55007204194659,64.9261963333836
2000-08-01,55.44061016472334,53.95573293514293
2000-09-01,60.6119012007376,62.87926923253589
2000-10-01,70.20519195594984,70.01567206227988
2000-11-01,107.1972369114437,98.85762962501138
2000-12-01,101.1736935026024,94.69241801940586
2001-01-01,101.4506132575975,95.4767278210851
2001-02-01,98.34653977074392,90.98817414008232
2001-03-01,110.0027148357177,100.3269368042013
2001-04-01,106.3465250076273,94.81448921536519
2001-05-01,84.73834314410244,79.04537777008423
2001-06-01,73.95588069592544,70.34019843271261
2001-07-01,96.77550964487239,87.66136128592362
2001-08-01,82.62726056600789,77.6048548288883
2001-09-01,180.4163153670954,167.4830519153987
2001-10-01,169.7630156948763,160.1939879393522
2001-11-01,126.3887688315771,121.3069347817532
2001-12-01,110.1042737090399,105.2043037230902
2002-01-01,107.3703308207344,103.6336311484439
2002-02-01,86.00212098500353,79.84368035225177
2002-03-01,77.60132416835455,75.52577962733788
2002-04-01,82.78027323411251,81.04589105668036
2002-05-01,80.8730642469094,79.21385394361543
2002-06-01,92.14223624660355,90.14412234394666
2002-07-01,102.6102215241523,98.48145838785494
2002-08-01,107.0345594454289,102.8584218866317
2002-09-01,122.1184807499351,118.2267100425313
2002-10-01,116.9025187213367,114.4204247528619
2002-11-01,123.3289728372812,117.5341299565744
2002-12-01,121.7348995028827,118.5296661426013
2003-01-01,131.7151842446151,123.4446994649198
2003-02-01,140.4651235134393,133.3739597006196
2003-03-01,174.0910199631908,166.3252477064287
2003-04-01,138.4453046571894,134.2196235848159
2003-05-01,106.189611184274,102.7021653270112
2003-06-01,88.49081741238092,82.67120154552015
2003-07-01,81.42104369794649,83.10079075537487
2003-08-01,70.77422100476878,72.64933508494443
2003-09-01,80.43503891680919,77.19761384536923
2003-10-01,76.6052834383175,78.3152085620761
2003-11-01,75.21832485914445,77.79388107461793
2003-12-01,73.53560099517712,75.39484413209868
2004-01-01,73.42207100436268,78.36357267838824
2004-02-01,73.07682000657765,79.49889428081579
2004-03-01,78.15160500676032,75.94550728468565
2004-04-01,77.62995519308139,79.88997080766876
2004-05-01,90.6051105646294,97.08910876119404
2004-06-01,76.81329906397546,77.26990492121843
2004-07-01,75.06626625700662,73.10209574010392
2004-08-01,68.87462424502834,68.0543962246847
2004-09-01,76.77406886316965,73.106615717265
2004-10-01,89.08589003059586,89.62834845140942
2004-11-01,84.49029853146061,81.99326367424297
2004-12-01,66.34377681908308,68.96746142161234
2005-01-01,58.92268692298368,65.34778769450043
2005-02-01,55.16141897777246,58.10687775857453
2005-03-01,53.32587742311485,56.08527206021937
2005-04-01,72.58984790199388,78.37425120275427
2005-05-01,67.86393862456893,65.2716210675647
2005-06-01,70.62583177628798,71.23469956487975
2005-07-01,63.94587032536739,65.56716148726483
2005-08-01,61.79474957829165,62.80243210472688
2005-09-01,92.77383138310267,91.36668104746882
2005-10-01,66.8355716703679,69.63833796817879
2005-11-01,65.72724904997912,63.96844622657752
2005-12-01,61.48582055159048,65.67385860145315
2006-01-01,70.5239237750986,76.53570778576437
2006-02-01,58.76922923464903,59.88178816725608
2006-03-01,58.75842305604125,61.39452432838672
2006-04-01,71.16191104046985,73.29220160512307
2006-05-01,63.61193774597335,63.77957894360824
2006-06-01,73.58925608852142,74.11273908884215
2006-07-01,70.02195499427509,71.71867933448905
2006-08-01,60.76111006379688,64.4785950941109
2006-09-01,57.32734149440684,56.47808975954922
2006-10-01,60.28494973251919,64.87023871341118
2006-11-01,57.98884278822766,63.03267892229215
2006-12-01,56.60205027844032,59.95189245027741
2007-01-01,63.68746457616351,64.25877624485835
2007-02-01,54.58242950241929,57.33990956985226
2007-03-01,64.15966989045556,66.01281197538623
2007-04-01,59.59223981140561,62.85467927390479
2007-05-01,58.22661103265791,58.38755440912268
2007-06-01,57.64732461322791,58.51552987583584
2007-07-01,47.58942470064732,51.23305637144932
2007-08-01,78.55868878237993,76.87927801696496
2007-09-01,99.07331137881707,93.99109797872272
2007-10-01,79.15325531511435,78.62099917099896
2007-11-01,82.60869399599315,78.84807070721703
2007-12-01,96.43052189910276,98.28077098084118
2008-01-01,134.4433152016442,132.3367013388913
2008-02-01,98.04409315140417,96.3933656296707
2008-03-01,117.8840071404911,124.7950095681564
2008-04-01,91.18104658544621,96.60163654349171
2008-05-01,77.87928086737801,80.22377853260278
2008-06-01,87.15987361912487,91.08280531615328
2008-07-01,95.80873200500312,104.8725636696227
2008-08-01,89.7983660348204,96.00844093568575
2008-09-01,162.0022136329375,157.8795137078364
2008-10-01,207.622320238821,207.1169018507849
2008-11-01,143.3028290536437,144.7084248738522
2008-12-01,144.132208074966,146.3932589548845
2009-01-01,145.5367866663985,145.2436810218938
2009-02-01,146.9377232075861,144.2519871899001
2009-03-01,131.6182636878031,134.1933637124454
2009-04-01,101.9515568642744,103.3068549037827
2009-05-01,102.9764838776303,99.71825434960236
2009-06-01,115.9718697507315,125.2964824826896
2009-07-01,104.8255427929358,112.8324455557143
2009-08-01,101.7264121089552,105.2677999923223
2009-09-01,106.3225734252631,115.1337414053036
2009-10-01,91.81894375372265,96.10923492360013
2009-11-01,104.4260608868002,106.4593535322393
2009-12-01,101.7345462905046,103.2067900761895
2010-01-01,117.7431247168963,119.0291521802451
2010-02-01,112.8529711065038,116.8029727483229
2010-03-01,113.0545040392277,117.0408868039508
2010-04-01,108.7098464987483,108.3588271347812
2010-05-01,145.6905782955159,141.6669926962196
2010-06-01,136.2594043401307,137.5151038806815
2010-07-01,147.1701969452474,144.4113411492996
2010-08-01,122.2432498050174,120.029546565338
2010-09-01,132.4371624942168,126.4918220711555
2010-10-01,126.113209707202,122.9963602384194
2010-11-01,130.0168042883002,126.3117706589428
2010-12-01,132.9940848301653,136.3247897897677
2011-01-01,113.6204092400933,120.2835700876358
2011-02-01,95.98441082097455,96.4769959472948
2011-03-01,129.215053316917,128.93732036125
2011-04-01,117.5614697298683,119.9578450012483
2011-05-01,92.9942667499591,92.58849447068941
2011-06-01,124.03132135328,122.8227007281921
2011-07-01,152.225479562456,149.4136552109756
2011-08-01,214.1109242136056,211.7950287959429
2011-09-01,193.2809253365033,192.4977437727313
2011-10-01,165.3645547597379,169.2490377452069
2011-11-01,190.8323639701526,192.9863705915601
2011-12-01,176.1900003759928,181.3997422803069
2012-01-01,153.4360095563403,155.9573379978291
2012-02-01,139.7903210574752,144.414368641072
2012-03-01,131.1235662016936,141.6905661711687
2012-04-01,128.0861260316433,132.2505863817842
2012-05-01,157.8596587429337,161.7084537221397
2012-06-01,181.5910619006,184.3868334217321
2012-07-01,149.9781689499673,149.4957276602886
2012-08-01,116.1715729043119,116.9654251203319
2012-09-01,151.5081051920763,152.7194123444379
2012-10-01,149.6243330487754,149.0063948828605
2012-11-01,163.3357832106873,157.6319951106954
2012-12-01,168.1321614811814,166.1499224036052
2013-01-01,165.0466980443021,162.7768890310315
2013-02-01,121.0860968262829,120.8938708946461
2013-03-01,143.043668268079,142.0895950850064
2013-04-01,134.1297587930149,135.8677845631692
