month,peru_usd_pen,peru_diesel_price_index,peru_industrial_electricity_tariff_index,peru_formal_private_income_pen
2020-02,3.39,91.0,145.0,2562.7
2020-03,3.491,90.0,144.0,3277.1
2020-04,3.398,89.0,143.0,2358.9
2020-05,3.421,86.0,143.0,2160.3
2020-06,3.47,82.0,145.0,2204.9
2020-07,3.517,78.0,147.0,3798.3
2020-08,3.564,79.0,148.0,2220.6
2020-09,3.555,79.0,149.0,2296.5
2020-10,3.596,78.0,150.0,2268.0
2020-11,3.608,77.0,154.0,2273.4
2020-12,3.603,80.0,155.0,4107.5
2021-01,3.625,84.0,153.0,2452.8
2021-02,3.645,88.0,153.0,2561.2
2021-03,3.708,94.0,152.0,3392.5
2021-04,3.699,94.0,154.0,2640.6
2021-05,3.774,94.0,150.0,2577.0
2021-06,3.91,97.0,150.0,2590.8
2021-07,3.94,100.0,149.0,4132.3
2021-08,4.086,104.0,153.0,2418.7
2021-09,4.107,104.0,155.0,2487.2
2021-10,4.015,108.0,162.0,2442.0
2021-11,4.02,109.0,161.0,2550.0
2021-12,4.037,108.0,160.0,4388.0
2022-01,3.889,107.0,159.0,2558.5
2022-02,3.791,109.0,161.0,2751.6
2022-03,3.739,112.0,159.0,4187.9
2022-04,3.74,102.0,157.0,2712.1
2022-05,3.758,105.0,159.0,2674.8
2022-06,3.747,110.0,158.0,2670.6
2022-07,3.902,109.0,157.0,4331.8
2022-08,3.874,108.0,160.0,2603.3
2022-09,3.898,114.0,160.0,2638.4
2022-10,3.979,122.0,160.0,2566.1
2022-11,3.877,122.0,173.0,2586.9
2022-12,3.829,121.0,172.0,4595.3
2023-01,3.833,118.0,172.0,2641.3
2023-02,3.841,116.0,164.0,2844.8
2023-03,3.78,112.0,161.0,4088.1
2023-04,3.766,107.0,159.0,2814.8
2023-05,3.689,99.0,153.0,2675.6
2023-06,3.651,94.0,153.0,2696.2
2023-07,3.601,93.0,153.0,4436.8
2023-08,3.696,95.0,144.0,2678.5
2023-09,3.73,99.0,143.0,2720.5
2023-10,3.844,104.0,144.0,2697.3
2023-11,3.762,108.0,153.0,2737.3
2023-12,3.734,105.0,154.0,4747.1
2024-01,3.74,101.0,154.0,2783.5
2024-02,3.827,99.0,151.0,2951.4
2024-03,3.71,101.0,149.0,4141.9
2024-04,3.713,101.0,149.0,2946.1
2024-05,3.731,101.0,146.0,2879.4
2024-06,3.785,98.0,146.0,2832.4
2024-07,3.764,98.0,146.0,4591.2
2024-08,3.741,99.0,146.0,2753.1
2024-09,3.768,97.0,147.0,2773.6
2024-10,3.754,95.0,147.0,2765.4
2024-11,3.779,94.0,149.0,2800.7
2024-12,3.735,95.0,149.0,4895.9
2025-01,3.748,95.0,149.0,2880.3
2025-02,3.698,97.0,146.0,3055.0
2025-03,3.653,95.0,144.0,4294.7
2025-04,3.7,92.0,144.0,2998.8
2025-05,3.66,91.0,143.0,2930.6
2025-06,3.604,90.0,142.0,2938.4
2025-07,3.556,92.0,142.0,4729.6
2025-08,3.543,92.0,136.0,2867.7
2025-09,3.503,91.0,135.0,2916.5
2025-10,3.414,90.0,135.0,2889.5
2025-11,3.373,90.0,133.0,2887.0
2025-12,3.367,90.0,132.0,4991.9
2026-01,3.357,89.0,132.0,2955.7
2026-02,3.357,88.0,126.0,3094.9
2026-03,3.447,115.0,123.0,4661.2
2026-04,3.443,131.0,123.0,3166.1
2026-05,3.435,130.0,129.0,2962.5
2026-06,3.405,121.0,129.0,2946.1
2026-07,3.4,119.0,129.0,
