"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"01.09.2026","3.157,00","3.157,00","3.157,00","3.157,00","","-0,91%"
"28.08.2026","3.186,00","3.186,00","3.186,00","3.186,00","","2,54%"
"27.08.2026","3.107,00","3.107,00","3.107,00","3.107,00","","1,67%"
"26.08.2026","3.056,00","3.056,00","3.056,00","3.056,00","","4,44%"
"25.08.2026","2.926,00","2.926,00","2.926,00","2.926,00","","1,53%"
"24.08.2026","2.882,00","2.882,00","2.882,00","2.882,00","","1,44%"
"21.08.2026","2.841,00","2.841,00","2.841,00","2.841,00","","1,79%"
"20.08.2026","2.791,00","2.791,00","2.791,00","2.791,00","","0,54%"
"19.08.2026","2.776,00","2.776,00","2.776,00","2.776,00","","-1,39%"
"18.08.2026","2.815,00","2.815,00","2.815,00","2.815,00","","-2,19%"
"17.08.2026","2.878,00","2.878,00","2.878,00","2.878,00","","0,52%"
"14.08.2026","2.863,00","2.863,00","2.863,00","2.863,00","","0,67%"
"13.08.2026","2.844,00","2.844,00","2.844,00","2.844,00","","-3,23%"
"12.08.2026","2.939,00","2.939,00","2.939,00","2.939,00","","-3,51%"
"11.08.2026","3.046,00","3.046,00","3.046,00","3.046,00","","-1,20%"
"10.08.2026","3.083,00","3.083,00","3.083,00","3.083,00","","-0,19%"
"07.08.2026","3.089,00","3.089,00","3.089,00","3.089,00","","1,05%"
"06.08.2026","3.057,00","3.057,00","3.057,00","3.057,00","","-0,20%"
"05.08.2026","3.063,00","3.063,00","3.063,00","3.063,00","","4,33%"
"04.08.2026","2.936,00","2.936,00","2.936,00","2.936,00","","3,27%"
"03.08.2026","2.843,00","2.843,00","2.843,00","2.843,00","","4,06%"
"31.07.2026","2.732,00","2.732,00","2.732,00","2.732,00","","2,21%"
"30.07.2026","2.673,00","2.673,00","2.673,00","2.673,00","","1,56%"
"29.07.2026","2.632,00","2.632,00","2.632,00","2.632,00","","-1,20%"
"28.07.2026","2.664,00","2.664,00","2.664,00","2.664,00","","-1,19%"
"27.07.2026","2.696,00","2.696,00","2.696,00","2.696,00","","-1,71%"
"24.07.2026","2.743,00","2.743,00","2.743,00","2.743,00","","0,66%"
"23.07.2026","2.725,00","2.725,00","2.725,00","2.725,00","","0,37%"
"22.07.2026","2.715,00","2.715,00","2.715,00","2.715,00","","1,69%"
"21.07.2026","2.670,00","2.670,00","2.670,00","2.670,00","","-0,04%"
"20.07.2026","2.671,00","2.671,00","2.671,00","2.671,00","","-2,94%"
"17.07.2026","2.752,00","2.752,00","2.752,00","2.752,00","","-3,10%"
"16.07.2026","2.840,00","2.840,00","2.840,00","2.840,00","","-3,04%"
"15.07.2026","2.929,00","2.929,00","2.929,00","2.929,00","","-1,71%"
"14.07.2026","2.980,00","2.980,00","2.980,00","2.980,00","","0,68%"
"13.07.2026","2.960,00","2.960,00","2.960,00","2.960,00","","0,54%"
"10.07.2026","2.944,00","2.944,00","2.944,00","2.944,00","","1,17%"
"09.07.2026","2.910,00","2.910,00","2.910,00","2.910,00","","1,36%"
"08.07.2026","2.871,00","2.871,00","2.871,00","2.871,00","","-0,14%"
"07.07.2026","2.875,00","2.875,00","2.875,00","2.875,00","","2,79%"
"06.07.2026","2.797,00","2.797,00","2.797,00","2.797,00","","2,94%"
"03.07.2026","2.717,00","2.717,00","2.717,00","2.717,00","","2,53%"
"02.07.2026","2.650,00","2.650,00","2.650,00","2.650,00","","3,43%"
"01.07.2026","2.562,00","2.562,00","2.562,00","2.562,00","","2,44%"
"30.06.2026","2.501,00","2.501,00","2.501,00","2.501,00","","0,44%"
"29.06.2026","2.490,00","2.490,00","2.490,00","2.490,00","","-1,35%"
"26.06.2026","2.524,00","2.524,00","2.524,00","2.524,00","","-2,59%"
"25.06.2026","2.591,00","2.591,00","2.591,00","2.591,00","","-1,63%"
"24.06.2026","2.634,00","2.634,00","2.634,00","2.634,00","","-1,24%"
"23.06.2026","2.667,00","2.667,00","2.667,00","2.667,00","","-0,63%"
"22.06.2026","2.684,00","2.684,00","2.684,00","2.684,00","","-1,40%"
"19.06.2026","2.722,00","2.722,00","2.722,00","2.722,00","","2,37%"
"18.06.2026","2.659,00","2.659,00","2.659,00","2.659,00","","0,23%"
"17.06.2026","2.653,00","2.653,00","2.653,00","2.653,00","","-0,64%"
"16.06.2026","2.670,00","2.670,00","2.670,00","2.670,00","","-1,84%"
"15.06.2026","2.720,00","2.729,00","2.729,00","2.720,00","","-3,48%"
"09.06.2026","2.818,00","2.818,00","2.818,00","2.818,00","","-3,36%"
"08.06.2026","2.916,00","2.916,00","2.916,00","2.916,00","","-2,18%"
"05.06.2026","2.981,00","2.981,00","2.981,00","2.981,00","","-1,84%"
"04.06.2026","3.037,00","3.037,00","3.037,00","3.037,00","","-2,78%"
"03.06.2026","3.124,00","3.124,00","3.124,00","3.124,00","","-2,53%"
"02.06.2026","3.205,00","3.205,00","3.205,00","3.205,00","","-0,53%"
"01.06.2026","3.222,00","3.222,00","3.222,00","3.222,00","","-0,06%"
"29.05.2026","3.224,00","3.224,00","3.224,00","3.224,00","","-0,06%"
"28.05.2026","3.226,00","3.226,00","3.226,00","3.226,00","","3,27%"
"27.05.2026","3.124,00","3.124,00","3.124,00","3.124,00","","1,26%"
"26.05.2026","3.085,00","3.085,00","3.085,00","3.085,00","","3,14%"
"22.05.2026","2.991,00","2.991,00","2.991,00","2.991,00","","0,91%"
"21.05.2026","2.964,00","2.964,00","2.964,00","2.964,00","","-1,36%"
"20.05.2026","3.005,00","3.005,00","3.005,00","3.005,00","","-1,60%"
"19.05.2026","3.054,00","3.054,00","3.054,00","3.054,00","","-1,23%"
"18.05.2026","3.092,00","3.092,00","3.092,00","3.092,00","","-1,87%"
"15.05.2026","3.151,00","3.151,00","3.151,00","3.151,00","","-1,38%"
"14.05.2026","3.195,00","3.195,00","3.195,00","3.195,00","","0,19%"
"13.05.2026","3.189,00","3.189,00","3.189,00","3.189,00","","4,11%"
"12.05.2026","3.063,00","3.063,00","3.063,00","3.063,00","","2,07%"
"11.05.2026","3.001,00","3.001,00","3.001,00","3.001,00","","0,77%"
"08.05.2026","2.978,00","2.978,00","2.978,00","2.978,00","","-1,85%"
"07.05.2026","3.034,00","3.034,00","3.034,00","3.034,00","","1,44%"
"06.05.2026","2.991,00","2.991,00","2.991,00","2.991,00","","5,61%"
"05.05.2026","2.832,00","2.832,00","2.832,00","2.832,00","","3,74%"
"01.05.2026","2.730,00","2.730,00","2.730,00","2.730,00","","1,64%"
"30.04.2026","2.686,00","2.686,00","2.686,00","2.686,00","","0,60%"
"29.04.2026","2.670,00","2.670,00","2.670,00","2.670,00","","-0,26%"
"28.04.2026","2.677,00","2.677,00","2.677,00","2.677,00","","0,41%"
"27.04.2026","2.666,00","2.666,00","2.666,00","2.666,00","","0,04%"
"24.04.2026","2.665,00","2.665,00","2.665,00","2.665,00","","-0,30%"
"23.04.2026","2.673,00","2.673,00","2.673,00","2.673,00","","-0,07%"
"22.04.2026","2.675,00","2.675,00","2.675,00","2.675,00","","1,33%"
"21.04.2026","2.640,00","2.640,00","2.640,00","2.640,00","","0,27%"
"20.04.2026","2.633,00","2.633,00","2.633,00","2.633,00","","2,57%"
"17.04.2026","2.567,00","2.567,00","2.567,00","2.567,00","","1,74%"
"16.04.2026","2.523,00","2.523,00","2.523,00","2.523,00","","1,57%"
"15.04.2026","2.484,00","2.484,00","2.484,00","2.484,00","","5,52%"
"14.04.2026","2.354,00","2.354,00","2.354,00","2.354,00","","4,62%"
"13.04.2026","2.250,00","2.250,00","2.250,00","2.250,00","","2,23%"
"10.04.2026","2.201,00","2.201,00","2.201,00","2.201,00","","1,85%"
"09.04.2026","2.161,00","2.161,00","2.161,00","2.161,00","","1,03%"
"08.04.2026","2.139,00","2.139,00","2.139,00","2.139,00","","2,10%"
"07.04.2026","2.095,00","2.095,00","2.095,00","2.095,00","","1,40%"
"02.04.2026","2.066,00","2.066,00","2.066,00","2.066,00","","1,77%"
"01.04.2026","2.030,00","2.030,00","2.030,00","2.030,00","","1,75%"
"31.03.2026","1.995,00","1.995,00","1.995,00","1.995,00","","-1,09%"
"30.03.2026","2.017,00","2.017,00","2.017,00","2.017,00","","-0,69%"
"27.03.2026","2.031,00","2.031,00","2.031,00","2.031,00","","0,84%"
"26.03.2026","2.014,00","2.014,00","2.014,00","2.014,00","","0,65%"
"25.03.2026","2.001,00","2.001,00","2.001,00","2.001,00","","0,60%"
"24.03.2026","1.989,00","1.989,00","1.989,00","1.989,00","","-2,36%"
"23.03.2026","2.037,00","2.037,00","2.037,00","2.037,00","","-0,92%"
"20.03.2026","2.056,00","2.056,00","2.056,00","2.056,00","","-0,05%"
"19.03.2026","2.057,00","2.057,00","2.057,00","2.057,00","","-0,34%"
"18.03.2026","2.064,00","2.064,00","2.064,00","2.064,00","","1,98%"
"17.03.2026","2.024,00","2.024,00","2.024,00","2.024,00","","-0,69%"
"16.03.2026","2.038,00","2.038,00","2.038,00","2.038,00","","0,49%"
"13.03.2026","2.028,00","2.028,00","2.028,00","2.028,00","","2,84%"
"12.03.2026","1.972,00","1.972,00","1.972,00","1.972,00","","2,39%"
"11.03.2026","1.926,00","1.926,00","1.926,00","1.926,00","","0,36%"
"10.03.2026","1.919,00","1.919,00","1.919,00","1.919,00","","-7,12%"
"09.03.2026","2.066,00","2.066,00","2.066,00","2.066,00","","2,79%"
"06.03.2026","2.010,00","2.010,00","2.010,00","2.010,00","","-5,99%"
"05.03.2026","2.138,00","2.138,00","2.138,00","2.138,00","","-4,25%"
"04.03.2026","2.233,00","2.233,00","2.233,00","2.233,00","","-0,40%"
"03.03.2026","2.242,00","2.242,00","2.242,00","2.242,00","","2,51%"
"02.03.2026","2.187,00","2.187,00","2.187,00","2.187,00","","2,20%"
"27.02.2026","2.140,00","2.140,00","2.140,00","2.140,00","","1,09%"
"26.02.2026","2.117,00","2.117,00","2.117,00","2.117,00","","-0,19%"
"25.02.2026","2.121,00","2.121,00","2.121,00","2.121,00","","-0,38%"
"24.02.2026","2.129,00","2.129,00","2.129,00","2.129,00","","0,80%"
"23.02.2026","2.112,00","2.112,00","2.112,00","2.112,00","","3,38%"
"20.02.2026","2.043,00","2.043,00","2.043,00","2.043,00","","1,19%"
"19.02.2026","2.019,00","2.019,00","2.019,00","2.019,00","","-2,13%"
"18.02.2026","2.063,00","2.063,00","2.063,00","2.063,00","","-1,53%"
"17.02.2026","2.095,00","2.095,00","2.095,00","2.095,00","","-0,24%"
"16.02.2026","2.100,00","2.100,00","2.100,00","2.100,00","","0,82%"
"13.02.2026","2.083,00","2.083,00","2.083,00","2.083,00","","-0,57%"
"12.02.2026","2.095,00","2.095,00","2.095,00","2.095,00","","7,00%"
"11.02.2026","1.958,00","1.958,00","1.958,00","1.958,00","","4,04%"
"10.02.2026","1.882,00","1.882,00","1.882,00","1.882,00","","-0,69%"
"09.02.2026","1.895,00","1.895,00","1.895,00","1.895,00","","-1,46%"
"06.02.2026","1.923,00","1.923,00","1.923,00","1.923,00","","-0,67%"
"05.02.2026","1.936,00","1.936,00","1.936,00","1.936,00","","-0,97%"
"04.02.2026","1.955,00","1.955,00","1.955,00","1.955,00","","-3,60%"
"03.02.2026","2.028,00","2.028,00","2.028,00","2.028,00","","-4,52%"
"02.02.2026","2.124,00","2.124,00","2.124,00","2.124,00","","-1,12%"
"30.01.2026","2.148,00","2.148,00","2.148,00","2.148,00","","7,29%"
"29.01.2026","2.002,00","2.002,00","2.002,00","2.002,00","","-0,69%"
"28.01.2026","2.016,00","2.016,00","2.016,00","2.016,00","","0,85%"
"27.01.2026","1.999,00","1.999,00","1.999,00","1.999,00","","12,30%"
"26.01.2026","1.780,00","1.780,00","1.780,00","1.780,00","","1,02%"
"23.01.2026","1.762,00","1.762,00","1.762,00","1.762,00","","0,06%"
"22.01.2026","1.761,00","1.761,00","1.761,00","1.761,00","","-2,33%"
"21.01.2026","1.803,00","1.803,00","1.803,00","1.803,00","","4,28%"
"20.01.2026","1.729,00","1.729,00","1.729,00","1.729,00","","4,79%"
"19.01.2026","1.650,00","1.650,00","1.650,00","1.650,00","","5,30%"
"16.01.2026","1.567,00","1.567,00","1.567,00","1.567,00","","2,28%"
"15.01.2026","1.532,00","1.532,00","1.532,00","1.532,00","","-2,17%"
"14.01.2026","1.566,00","1.566,00","1.566,00","1.566,00","","-2,61%"
"13.01.2026","1.608,00","1.608,00","1.608,00","1.608,00","","-3,07%"
"12.01.2026","1.659,00","1.659,00","1.659,00","1.659,00","","-1,72%"
"09.01.2026","1.688,00","1.688,00","1.688,00","1.688,00","","-1,75%"
"08.01.2026","1.718,00","1.718,00","1.718,00","1.718,00","","-3,27%"
"07.01.2026","1.776,00","1.776,00","1.776,00","1.776,00","","-2,95%"
"06.01.2026","1.830,00","1.830,00","1.830,00","1.830,00","","-1,13%"
"05.01.2026","1.851,00","1.851,00","1.851,00","1.851,00","","-1,65%"
"02.01.2026","1.882,00","1.882,00","1.882,00","1.882,00","","0,27%"
"24.12.2025","1.877,00","1.877,00","1.877,00","1.877,00","","-0,64%"
"23.12.2025","1.889,00","1.889,00","1.889,00","1.889,00","","-4,55%"
"22.12.2025","1.979,00","1.979,00","1.979,00","1.979,00","","-2,17%"
"19.12.2025","2.023,00","2.023,00","2.023,00","2.023,00","","-2,32%"
"18.12.2025","2.071,00","2.071,00","2.071,00","2.071,00","","-2,36%"
"17.12.2025","2.121,00","2.121,00","2.121,00","2.121,00","","-3,77%"
"16.12.2025","2.204,00","2.204,00","2.204,00","2.204,00","","0,50%"
"15.12.2025","2.193,00","2.193,00","2.193,00","2.193,00","","-0,54%"
"12.12.2025","2.205,00","2.205,00","2.205,00","2.205,00","","-3,88%"
"11.12.2025","2.294,00","2.294,00","2.294,00","2.294,00","","-5,60%"
"10.12.2025","2.430,00","2.430,00","2.430,00","2.430,00","","-4,97%"
"09.12.2025","2.557,00","2.557,00","2.557,00","2.557,00","","-5,09%"
"08.12.2025","2.694,00","2.694,00","2.694,00","2.694,00","","-1,21%"
"05.12.2025","2.727,00","2.727,00","2.727,00","2.727,00","","-3,09%"
"04.12.2025","2.814,00","2.814,00","2.814,00","2.814,00","","-1,09%"
"03.12.2025","2.845,00","2.845,00","2.845,00","2.845,00","","9,42%"
"02.12.2025","2.600,00","2.600,00","2.600,00","2.600,00","","0,66%"
"01.12.2025","2.583,00","2.583,00","2.583,00","2.583,00","","0,90%"
"28.11.2025","2.560,00","2.560,00","2.560,00","2.560,00","","3,23%"
"27.11.2025","2.480,00","2.480,00","2.480,00","2.480,00","","3,29%"
"26.11.2025","2.401,00","2.401,00","2.401,00","2.401,00","","3,98%"
"25.11.2025","2.309,00","2.309,00","2.309,00","2.309,00","","0,61%"
"24.11.2025","2.295,00","2.295,00","2.295,00","2.295,00","","0,88%"
"21.11.2025","2.275,00","2.275,00","2.275,00","2.275,00","","0,22%"
"20.11.2025","2.270,00","2.270,00","2.270,00","2.270,00","","0,44%"
"19.11.2025","2.260,00","2.260,00","2.260,00","2.260,00","","1,99%"
"18.11.2025","2.216,00","2.216,00","2.216,00","2.216,00","","2,93%"
"17.11.2025","2.153,00","2.153,00","2.153,00","2.153,00","","1,32%"
"14.11.2025","2.125,00","2.125,00","2.125,00","2.125,00","","2,31%"
"13.11.2025","2.077,00","2.077,00","2.077,00","2.077,00","","2,32%"
"12.11.2025","2.030,00","2.030,00","2.030,00","2.030,00","","-2,03%"
"11.11.2025","2.072,00","2.072,00","2.072,00","2.072,00","","-0,58%"
"10.11.2025","2.084,00","2.084,00","2.084,00","2.084,00","","-0,95%"
"07.11.2025","2.104,00","2.104,00","2.104,00","2.104,00","","1,99%"
"06.11.2025","2.063,00","2.063,00","2.063,00","2.063,00","","3,00%"
"05.11.2025","2.003,00","2.003,00","2.003,00","2.003,00","","2,30%"
"04.11.2025","1.958,00","1.958,00","1.958,00","1.958,00","","0,67%"
"03.11.2025","1.945,00","1.945,00","1.945,00","1.945,00","","-1,07%"
"31.10.2025","1.966,00","1.966,00","1.966,00","1.966,00","","-0,86%"
"30.10.2025","1.983,00","1.983,00","1.983,00","1.983,00","","1,12%"
"29.10.2025","1.961,00","1.961,00","1.961,00","1.961,00","","0,56%"
"28.10.2025","1.950,00","1.950,00","1.950,00","1.950,00","","-1,32%"
"27.10.2025","1.976,00","1.976,00","1.976,00","1.976,00","","-0,75%"
"24.10.2025","1.991,00","1.991,00","1.991,00","1.991,00","","-3,21%"
"23.10.2025","2.057,00","2.057,00","2.057,00","2.057,00","","-1,77%"
"21.10.2025","2.094,00","2.094,00","2.094,00","2.094,00","","1,11%"
"20.10.2025","2.071,00","2.069,00","2.071,00","2.069,00","","0,10%"
"17.10.2025","2.069,00","2.069,00","2.069,00","2.069,00","","1,12%"
"16.10.2025","2.046,00","2.046,00","2.046,00","2.046,00","","2,45%"
"15.10.2025","1.997,00","1.997,00","1.997,00","1.997,00","","-1,24%"
"14.10.2025","2.022,00","2.022,00","2.022,00","2.022,00","","-5,69%"
"13.10.2025","2.144,00","2.144,00","2.144,00","2.144,00","","10,74%"
"10.10.2025","1.936,00","1.936,00","1.936,00","1.936,00","","0,68%"
"09.10.2025","1.923,00","1.923,00","1.923,00","1.923,00","","-2,04%"
"08.10.2025","1.963,00","1.963,00","1.963,00","1.963,00","","0,82%"
"07.10.2025","1.947,00","1.947,00","1.947,00","1.947,00","","0,78%"
"06.10.2025","1.932,00","1.932,00","1.932,00","1.932,00","","1,63%"
"03.10.2025","1.901,00","1.901,00","1.901,00","1.901,00","","-0,42%"
"02.10.2025","1.909,00","1.909,00","1.909,00","1.909,00","","-3,59%"
"01.10.2025","1.980,00","1.980,00","1.980,00","1.980,00","","-7,22%"
"30.09.2025","2.134,00","2.134,00","2.134,00","2.134,00","","-3,87%"
"29.09.2025","2.220,00","2.220,00","2.220,00","2.220,00","","-1,73%"
"26.09.2025","2.259,00","2.259,00","2.259,00","2.259,00","","-0,31%"
"25.09.2025","2.266,00","2.266,00","2.266,00","2.266,00","","1,16%"
"24.09.2025","2.240,00","2.240,00","2.240,00","2.240,00","","1,82%"
"23.09.2025","2.200,00","2.200,00","2.200,00","2.200,00","","1,29%"
"22.09.2025","2.172,00","2.172,00","2.172,00","2.172,00","","-1,41%"
"19.09.2025","2.203,00","2.203,00","2.203,00","2.203,00","","-0,09%"
"18.09.2025","2.205,00","2.205,00","2.205,00","2.205,00","","1,15%"
"17.09.2025","2.180,00","2.180,00","2.180,00","2.180,00","","1,21%"
"16.09.2025","2.154,00","2.154,00","2.154,00","2.154,00","","0,05%"
"15.09.2025","2.153,00","2.153,00","2.153,00","2.153,00","","1,27%"
"12.09.2025","2.126,00","2.126,00","2.126,00","2.126,00","","0,71%"
"11.09.2025","2.111,00","2.111,00","2.111,00","2.111,00","","-0,05%"
"10.09.2025","2.112,00","2.112,00","2.112,00","2.112,00","","1,59%"
"09.09.2025","2.079,00","2.079,00","2.079,00","2.079,00","","2,97%"
"08.09.2025","2.019,00","2.019,00","2.019,00","2.019,00","","2,02%"
"05.09.2025","1.979,00","1.979,00","1.979,00","1.979,00","","0,82%"
"04.09.2025","1.963,00","1.963,00","1.963,00","1.963,00","","1,19%"
"03.09.2025","1.940,00","1.940,00","1.940,00","1.940,00","","-2,32%"
"02.09.2025","1.986,00","1.986,00","1.986,00","1.986,00","","-1,88%"
"01.09.2025","2.024,00","2.024,00","2.024,00","2.024,00","","-0,05%"
"29.08.2025","2.025,00","2.025,00","2.025,00","2.025,00","","0,40%"
"28.08.2025","2.017,00","2.017,00","2.017,00","2.017,00","","-1,42%"
"27.08.2025","2.046,00","2.046,00","2.046,00","2.046,00","","0,24%"
"26.08.2025","2.041,00","2.041,00","2.041,00","2.041,00","","4,99%"
"22.08.2025","1.944,00","1.944,00","1.944,00","1.944,00","","2,69%"
"21.08.2025","1.893,00","1.893,00","1.893,00","1.893,00","","-1,76%"
"20.08.2025","1.927,00","1.927,00","1.927,00","1.927,00","","-1,88%"
"19.08.2025","1.964,00","1.964,00","1.964,00","1.964,00","","-2,87%"
"18.08.2025","2.022,00","2.022,00","2.022,00","2.022,00","","-1,08%"
"15.08.2025","2.044,00","2.044,00","2.044,00","2.044,00","","0,25%"
"14.08.2025","2.039,00","2.039,00","2.039,00","2.039,00","","0,69%"
"13.08.2025","2.025,00","2.025,00","2.025,00","2.025,00","","0,40%"
"12.08.2025","2.017,00","2.017,00","2.017,00","2.017,00","","-1,03%"
"11.08.2025","2.038,00","2.038,00","2.038,00","2.038,00","","-0,63%"
"08.08.2025","2.051,00","2.051,00","2.051,00","2.051,00","","2,14%"
"07.08.2025","2.008,00","2.008,00","2.008,00","2.008,00","","0,70%"
"06.08.2025","1.994,00","1.994,00","1.994,00","1.994,00","","3,80%"
"05.08.2025","1.921,00","1.921,00","1.921,00","1.921,00","","-2,49%"
"04.08.2025","1.970,00","1.970,00","1.970,00","1.970,00","","-2,38%"
"01.08.2025","2.018,00","2.018,00","2.018,00","2.018,00","","0,75%"
"31.07.2025","2.003,00","2.003,00","2.003,00","2.003,00","","0,40%"
"30.07.2025","1.995,00","1.995,00","1.995,00","1.995,00","","-5,41%"
"29.07.2025","2.109,00","2.109,00","2.109,00","2.109,00","","-5,26%"
"28.07.2025","2.226,00","2.226,00","2.226,00","2.226,00","","-1,37%"
"25.07.2025","2.257,00","2.257,00","2.257,00","2.257,00","","-0,04%"
"24.07.2025","2.258,00","2.258,00","2.258,00","2.258,00","","6,51%"
"23.07.2025","2.120,00","2.120,00","2.120,00","2.120,00","","4,18%"
"22.07.2025","2.035,00","2.035,00","2.035,00","2.035,00","","0,94%"
"21.07.2025","2.016,00","2.016,00","2.016,00","2.016,00","","-1,75%"
"18.07.2025","2.052,00","2.052,00","2.052,00","2.052,00","","1,08%"
"17.07.2025","2.030,00","2.030,00","2.030,00","2.030,00","","6,51%"
"16.07.2025","1.906,00","1.906,00","1.906,00","1.906,00","","2,14%"
"15.07.2025","1.866,00","1.866,00","1.866,00","1.866,00","","4,66%"
"14.07.2025","1.783,00","1.783,00","1.783,00","1.783,00","","7,22%"
"11.07.2025","1.663,00","1.663,00","1.663,00","1.663,00","","13,52%"
"10.07.2025","1.465,00","1.465,00","1.465,00","1.465,00","","2,95%"
"09.07.2025","1.423,00","1.423,00","1.423,00","1.423,00","","-0,56%"
"08.07.2025","1.431,00","1.431,00","1.431,00","1.431,00","","-0,35%"
"07.07.2025","1.436,00","1.436,00","1.436,00","1.436,00","","0,00%"
"04.07.2025","1.436,00","1.436,00","1.436,00","1.436,00","","0,14%"
"03.07.2025","1.434,00","1.434,00","1.434,00","1.434,00","","-0,62%"
"02.07.2025","1.443,00","1.443,00","1.443,00","1.443,00","","-1,03%"
"01.07.2025","1.458,00","1.458,00","1.458,00","1.458,00","","-2,08%"
"30.06.2025","1.489,00","1.489,00","1.489,00","1.489,00","","-2,10%"
"27.06.2025","1.521,00","1.521,00","1.521,00","1.521,00","","-2,06%"
"26.06.2025","1.553,00","1.553,00","1.553,00","1.553,00","","-6,73%"
"25.06.2025","1.665,00","1.665,00","1.665,00","1.665,00","","-0,95%"
"24.06.2025","1.681,00","1.681,00","1.681,00","1.681,00","","0,42%"
"23.06.2025","1.674,00","1.674,00","1.674,00","1.674,00","","-0,89%"
"20.06.2025","1.689,00","1.689,00","1.689,00","1.689,00","","-3,54%"
"19.06.2025","1.751,00","1.751,00","1.751,00","1.751,00","","-6,56%"
"18.06.2025","1.874,00","1.874,00","1.874,00","1.874,00","","-4,00%"
"17.06.2025","1.952,00","1.952,00","1.952,00","1.952,00","","-1,16%"
"16.06.2025","1.975,00","1.975,00","1.975,00","1.975,00","","0,36%"
"13.06.2025","1.968,00","1.968,00","1.968,00","1.968,00","","3,36%"
"12.06.2025","1.904,00","1.904,00","1.904,00","1.904,00","","9,55%"
"11.06.2025","1.738,00","1.738,00","1.738,00","1.738,00","","3,45%"
"10.06.2025","1.680,00","1.680,00","1.680,00","1.680,00","","-0,65%"
"09.06.2025","1.691,00","1.691,00","1.691,00","1.691,00","","3,55%"
"06.06.2025","1.633,00","1.633,00","1.633,00","1.633,00","","0,43%"
"05.06.2025","1.626,00","1.626,00","1.626,00","1.626,00","","9,20%"
"04.06.2025","1.489,00","1.489,00","1.489,00","1.489,00","","4,13%"
"03.06.2025","1.430,00","1.430,00","1.430,00","1.430,00","","0,56%"
"02.06.2025","1.422,00","1.422,00","1.422,00","1.422,00","","0,28%"
"30.05.2025","1.418,00","1.418,00","1.418,00","1.418,00","","4,80%"
"29.05.2025","1.353,00","1.353,00","1.353,00","1.353,00","","3,84%"
"28.05.2025","1.303,00","1.303,00","1.303,00","1.303,00","","0,54%"
"27.05.2025","1.296,00","1.296,00","1.296,00","1.296,00","","-3,28%"
"23.05.2025","1.340,00","1.340,00","1.340,00","1.340,00","","-0,07%"
"22.05.2025","1.341,00","1.341,00","1.341,00","1.341,00","","0,30%"
"21.05.2025","1.337,00","1.337,00","1.337,00","1.337,00","","-0,22%"
"20.05.2025","1.340,00","1.340,00","1.340,00","1.340,00","","-0,52%"
"19.05.2025","1.347,00","1.347,00","1.347,00","1.347,00","","-2,95%"
"16.05.2025","1.388,00","1.388,00","1.388,00","1.388,00","","6,36%"
"15.05.2025","1.305,00","1.305,00","1.305,00","1.305,00","","3,00%"
"14.05.2025","1.267,00","1.267,00","1.267,00","1.267,00","","-1,02%"
"13.05.2025","1.280,00","1.280,00","1.280,00","1.280,00","","-1,84%"
"12.05.2025","1.304,00","1.304,00","1.304,00","1.304,00","","0,38%"
"09.05.2025","1.299,00","1.299,00","1.299,00","1.299,00","","-1,29%"
"08.05.2025","1.316,00","1.316,00","1.316,00","1.316,00","","-4,22%"
"07.05.2025","1.374,00","1.374,00","1.374,00","1.374,00","","-2,28%"
"06.05.2025","1.406,00","1.406,00","1.406,00","1.406,00","","-1,06%"
"02.05.2025","1.421,00","1.421,00","1.421,00","1.421,00","","0,71%"
"01.05.2025","1.411,00","1.411,00","1.411,00","1.411,00","","1,80%"
"30.04.2025","1.386,00","1.386,00","1.386,00","1.386,00","","-0,86%"
"29.04.2025","1.398,00","1.398,00","1.398,00","1.398,00","","-0,36%"
"28.04.2025","1.403,00","1.403,00","1.403,00","1.403,00","","2,18%"
"25.04.2025","1.373,00","1.373,00","1.373,00","1.373,00","","1,48%"
"24.04.2025","1.353,00","1.353,00","1.353,00","1.353,00","","4,08%"
"23.04.2025","1.300,00","1.300,00","1.300,00","1.300,00","","3,09%"
"22.04.2025","1.261,00","1.261,00","1.261,00","1.261,00","","0,00%"
"17.04.2025","1.261,00","1.261,00","1.261,00","1.261,00","","1,61%"
"16.04.2025","1.241,00","1.241,00","1.241,00","1.241,00","","-1,74%"
"15.04.2025","1.263,00","1.263,00","1.263,00","1.263,00","","-1,48%"
"14.04.2025","1.282,00","1.282,00","1.282,00","1.282,00","","0,63%"
"11.04.2025","1.274,00","1.274,00","1.274,00","1.274,00","","0,39%"
"10.04.2025","1.269,00","1.269,00","1.269,00","1.269,00","","0,79%"
"09.04.2025","1.259,00","1.259,00","1.259,00","1.259,00","","-6,18%"
"08.04.2025","1.342,00","1.342,00","1.342,00","1.342,00","","-4,21%"
"07.04.2025","1.401,00","1.401,00","1.401,00","1.401,00","","-5,91%"
"04.04.2025","1.489,00","1.489,00","1.489,00","1.489,00","","-3,31%"
"03.04.2025","1.540,00","1.540,00","1.540,00","1.540,00","","-2,72%"
"02.04.2025","1.583,00","1.583,00","1.583,00","1.583,00","","-0,25%"
"01.04.2025","1.587,00","1.587,00","1.587,00","1.587,00","","-0,69%"
"31.03.2025","1.598,00","1.598,00","1.598,00","1.598,00","","-0,25%"
"28.03.2025","1.602,00","1.602,00","1.602,00","1.602,00","","-1,17%"
