horizon,expert,observations,mae,rmse,mape_pct,smape_pct,bias,directional_accuracy_pct
1,naive,19,425.78520973051894,540.431847070181,3.7081004881650457,3.788419512495084,-282.0081073896865,0.0
1,elasticnet_8y,19,455.3179113973343,539.00639851922,3.9581019549650645,3.9512289817705764,28.43888014680756,63.1578947368421
1,arima_5y,19,451.7914148927898,545.0342528917912,3.9600060391445457,4.021962304825427,-218.97791913605607,47.368421052631575
1,arima_10y,19,465.4574656227514,546.788514353395,4.067723632559242,4.124184081020492,-204.39089812797025,42.10526315789473
1,arima_8y,19,470.56010190233474,551.7926814844895,4.11665428070326,4.1735699769760295,-202.23391607976248,42.10526315789473
1,sarimax_5y,19,562.4298297622225,715.7444865054098,4.8066461793034785,4.796342965643259,-90.87413944949951,57.89473684210527
1,elasticnet_10y,19,568.6987459656634,741.1120217688109,4.820446996305154,4.948603636185219,-354.8320161664483,63.1578947368421
1,ridge_8y,19,568.8432830490407,753.0671019571838,4.904214045676446,4.762733558317046,342.25786469016816,63.1578947368421
1,ridge_10y,19,612.564714942773,768.6658811033657,5.166630120261147,5.006450913033334,420.83050628242574,68.42105263157895
1,sarimax_10y,19,612.4198912989885,724.561860084594,5.352217361371107,5.3661337643098825,-62.91496374521328,63.1578947368421
1,ridge_5y,19,653.6943407379098,820.7076988381999,5.4530080364159375,5.520968434398064,-190.84365289498132,47.368421052631575
1,sarimax_8y,19,647.3372612076404,776.4638785974333,5.604430554814386,5.614436560337392,-104.34381317274624,42.10526315789473
1,elasticnet_5y,19,759.8327103247096,1051.9817924425518,6.271681093136921,6.53284785314506,-504.70993511053723,47.368421052631575
2,elasticnet_8y,18,531.124523062444,700.4842713697458,4.453324753075407,4.463151973405069,-107.6970713213066,72.22222222222221
2,elasticnet_10y,18,625.011983965799,807.1278985157612,5.458201951069337,5.624157166870349,-404.9413998357264,61.111111111111114
2,naive,18,663.3002422429962,857.0789970918312,5.604377948035214,5.847027961624532,-530.7821085248622,0.0
2,ridge_8y,18,729.3346408555458,985.1727819241789,5.968703991670096,5.710532066469127,562.829050049506,72.22222222222221
2,arima_10y,18,723.4525591365551,886.8954280401907,6.2056498421091195,6.396639875384754,-411.48764529740765,50.0
2,arima_5y,18,724.1693610465157,881.1080268071771,6.237095438415734,6.4408458626017895,-430.5735866914734,44.44444444444444
2,arima_8y,18,731.9832247173292,896.1396715841702,6.2977724278733795,6.488950967976809,-404.4680959658401,50.0
2,sarimax_5y,18,749.2655113102269,1043.7213801614844,6.381581664530208,6.256968153759466,28.131750711193895,61.111111111111114
2,sarimax_10y,18,780.1025287083016,917.9356163278736,6.664985117260174,6.772055456127922,-215.4566609971305,50.0
2,sarimax_8y,18,834.4018638137546,1033.8042874601363,7.092552886813287,7.193726217477914,-176.26519303884672,61.111111111111114
2,ridge_5y,18,902.8042192787491,1118.6669537686712,7.403414794941117,7.815310502540895,-902.8042192787491,55.55555555555556
2,ridge_10y,18,919.4492376191819,1146.948003965715,7.764265326221033,7.456242801770078,650.0636269210802,66.66666666666666
2,elasticnet_5y,18,1063.8256193480627,1260.9602540227502,8.880403930008791,9.33731881028046,-877.9036381474579,38.88888888888889
3,elasticnet_8y,17,705.6810526742224,869.1319182737601,5.764258465061666,5.742651918597956,29.048168025140672,82.35294117647058
3,sarimax_10y,17,739.4716522310662,918.1758695314326,6.065322061191902,6.204141990302267,-141.1704725533234,82.35294117647058
3,naive,17,811.3139183209516,1072.3862724359906,6.664592602537596,7.063456430786669,-788.0779239231925,0.0
3,arima_10y,17,810.0703230450245,1048.1736256711795,6.666002399418371,7.021788332373561,-661.6449966620406,64.70588235294117
3,arima_5y,17,817.901104445323,1053.4734171175087,6.749428361563152,7.12289970052165,-681.0131455707187,70.58823529411765
3,arima_8y,17,819.5671443974531,1053.0463157856175,6.763609757436402,7.122640525093642,-654.1620035383834,64.70588235294117
3,ridge_10y,17,867.1685903531795,1221.530291116505,6.833426511989569,6.454958309017862,743.3076277412791,88.23529411764706
3,ridge_8y,17,845.6748871614064,1121.3460745538177,6.860179834306885,6.5062014884099355,749.4237412085319,94.11764705882352
3,sarimax_5y,17,830.8802708131753,1097.4271863628585,6.904810407607946,7.331559675160869,-754.7052745040974,52.94117647058824
3,elasticnet_10y,17,836.6521569680605,978.5881564208632,7.083571660392393,7.428150428128412,-820.0933641847921,52.94117647058824
3,sarimax_8y,17,864.2950146359206,1137.369916887674,7.175706932381816,7.3052002968684375,-148.337888155783,82.35294117647058
3,ridge_5y,17,1682.8792888234443,1971.3338967575307,13.493673505896405,14.791063144968058,-1678.2362090694635,11.76470588235294
3,elasticnet_5y,17,1809.856749182048,2126.2996066574988,14.569511037654662,16.10941418840358,-1809.856749182048,11.76470588235294
4,sarimax_8y,16,668.3556243638756,955.8785328786377,5.619905143901175,5.918781224728261,-511.1723846984129,87.5
4,ridge_10y,16,945.9611366422198,1402.2822348715697,7.210334205377028,6.809779480027037,622.101691652997,100.0
4,ridge_8y,16,945.2147189826492,1249.7744847753056,7.410372322117744,7.13843785355288,519.7059249058898,100.0
4,sarimax_10y,16,914.2672260294368,1137.0424436520939,7.530248581735734,7.9824199851583595,-914.2672260294368,68.75
