year,months,average_price,minimum_price,maximum_price,price_std,average_monthly_change_pct,monthly_change_std_pct
2015,12,5501.685318843057,4629.0,6300.605263157895,515.5414500690578,-1.9490834264338093,4.746924339147733
2016,12,4863.2245129870125,4462.75,5666.25,350.4938128157057,1.82798484428248,5.454229275329961
2017,12,6162.768685217656,5591.5,6825.568181818182,492.0598141062685,1.5765906824410136,3.1267188553054113
2018,12,6525.334468933368,6020.025,7080.295454545455,419.7993367585991,-0.845433336147671,3.694479869178264
2019,12,6005.115670681975,5707.976190476191,6451.023809523809,260.19557129488805,0.011277703232706604,3.4488062286587606
2020,12,6168.591489263342,5048.25,7755.238095238095,830.0310626445879,2.24816888849557,6.206338632576383
2021,12,9314.735010574857,7970.5,10183.973684210529,600.5643080075923,1.8348895496747009,4.337461114891172
2022,12,8814.815785242916,7529.785714285715,10237.58695652174,1054.2271716138553,-0.8947229011820554,6.408063167553598
2023,12,8483.401337727553,7939.659090909091,8999.785714285714,338.1121505177374,0.0850478878150059,3.5735897199875843
2024,12,9144.090658134135,8310.738095238095,10129.07142857143,539.7072254303616,0.6078248219483245,4.726013924503308
2025,12,9939.242068589623,8977.568181818182,11803.785714285714,796.6342526887771,2.4330745356984576,3.9642457175811057
2026,8,13298.675515142435,12498.977272727272,14335.722222222224,561.2596824029501,2.5488752405898762,4.620560084554567
