feature,category,frequency,aggregation,paired_observations,pearson_correlation,abs_pearson_correlation,spearman_correlation,abs_spearman_correlation
usd_idr,macro_fred,monthly,as_is,139,0.7929323245438704,0.7929323245438704,0.7318915054291969,0.7318915054291969
usa_ev_stock_units,energy_transition,annual,repeat_within_year,132,0.7928978732603911,0.7928978732603911,0.8400916941369451,0.8400916941369451
global_ev_stock_units,energy_transition,annual,repeat_within_year,132,0.7903312410327706,0.7903312410327706,0.8400916941369451,0.8400916941369451
peru_mining_employment,peru_mining,annual,repeat_within_year,72,0.784792347851675,0.784792347851675,0.5846214160032224,0.5846214160032224
usa_nyse_hecla_mining,equities_companies,monthly,as_is,140,0.78220754868032,0.78220754868032,0.6861822396186396,0.6861822396186396
icsg_mine_production_ton,icsg,annual,repeat_within_year,92,0.7797535782696388,0.7797535782696388,0.759982376036116,0.759982376036116
japan_10y_yield,macro_fred,monthly,as_is,138,0.7775807839656403,0.7775807839656403,0.6699927064129414,0.6699927064129414
canada_tsx_composite_hudbay_minerals,equities_companies,monthly,as_is,140,0.7755191416853421,0.7755191416853421,0.6692571778443508,0.6692571778443508
chile_copper_fuel_consumption_tj,chile_cochilco,annual,repeat_within_year,120,0.7748880486210038,0.7748880486210038,0.81017236372345,0.81017236372345
china_ev_stock_units,energy_transition,annual,repeat_within_year,132,0.7719971740564066,0.7719971740564066,0.8400916941369451,0.8400916941369451
rest_of_world_ev_sales_units,energy_transition,annual,repeat_within_year,132,0.768392180066382,0.768392180066382,0.8638422531219201,0.8638422531219201
euro_area_ppi,global_macro,monthly,as_is,138,0.7681119996694856,0.7681119996694856,0.7975288983903377,0.7975288983903377
china_electricity_generation_100m_kwh,china,monthly,as_is,115,0.7672644190170707,0.7672644190170707,0.7937899471316975,0.7937899471316975
world_copper_reserves_ton,usgs,annual,repeat_within_year,96,0.7601740360396368,0.7601740360396368,0.727109352012701,0.727109352012701
rest_of_world_ev_stock_units,energy_transition,annual,repeat_within_year,132,0.7599352192089399,0.7599352192089399,0.8400916941369451,0.8400916941369451
chile_sulfuric_acid_consumption_ton,chile_cochilco,annual,repeat_within_year,120,0.7483130516832818,0.7483130516832818,0.6950915379448891,0.6950915379448891
uk_ftse100_glencore,equities_companies,monthly,as_is,140,0.7458150281704293,0.7458150281704293,0.7397476547637272,0.7397476547637272
indonesia_jakarta_composite,equities_indices,monthly,as_is,140,0.7404385061754528,0.7404385061754528,0.7843432245085392,0.7843432245085392
icsg_refined_production_ton,icsg,annual,repeat_within_year,92,0.7369106769433036,0.7369106769433036,0.7624062648703822,0.7624062648703822
chile_sulfuric_acid_import_ton,chile_cochilco,annual,repeat_within_year,120,0.732043463406178,0.732043463406178,0.7319442041330745,0.7319442041330745
usd_cdf,global_macro,monthly,as_is,140,0.7278747235436128,0.7278747235436128,0.8156917626992631,0.8156917626992631
usa_nyse_mp_materials,equities_companies,monthly,as_is,75,0.7254521112690038,0.7254521112690038,0.6741678520625889,0.6741678520625889
usd_krw,macro_fred,monthly,as_is,140,0.7250257257065035,0.7250257257065035,0.566158623253373,0.566158623253373
usd_jpy,macro_fred,monthly,as_is,140,0.7239331315407946,0.7239331315407946,0.6129102796789925,0.6129102796789925
boj_call_rate,global_macro,monthly,as_is,140,0.7228568843033412,0.7228568843033412,0.49801228925674057,0.49801228925674057
zinc_cash_usd_per_ton,other_metals,daily,monthly_mean,140,0.7135277031794359,0.7135277031794359,0.7592661433163501,0.7592661433163501
peru_diesel_price_index,peru_cost_drivers,monthly,as_is,139,0.7125360570569323,0.7125360570569323,0.7274702672190567,0.7274702672190567
world_copper_refinery_production_ton,usgs,annual,repeat_within_year,96,0.7120592913070045,0.7120592913070045,0.6924308212005075,0.6924308212005075
