horizon,direct_weight,observations,mape_pct,rmse,bias,directional_accuracy_pct
1,0.0,19,3.7081004881650457,540.431847070181,-282.0081073896865,0.0
1,0.25,19,3.7081004881650457,540.431847070181,-282.0081073896865,0.0
1,0.5,19,3.7081004881650457,540.431847070181,-282.0081073896865,0.0
1,0.75,19,3.7081004881650457,540.431847070181,-282.0081073896865,0.0
1,1.0,19,3.7081004881650457,540.431847070181,-282.0081073896865,0.0
2,0.5,17,3.955999287799254,642.2843131426251,-81.64640174984304,76.47058823529412
2,0.75,17,3.979560853476314,641.0265717217766,-61.313652257035166,76.47058823529412
2,1.0,17,4.2057097962961665,654.8444787286877,-40.980902764226975,76.47058823529412
2,0.25,17,4.236724554544368,658.5313288588515,-101.97915124265103,76.47058823529412
2,0.0,17,4.538416574781308,688.7076173470907,-122.31190073545922,70.58823529411765
3,0.0,17,5.764258465061666,869.1319182737601,29.048168025140672,82.35294117647058
3,0.25,17,5.764258465061666,869.1319182737601,29.048168025140672,82.35294117647058
3,0.5,17,5.764258465061666,869.1319182737601,29.048168025140672,82.35294117647058
3,0.75,17,5.764258465061666,869.1319182737601,29.048168025140672,82.35294117647058
3,1.0,17,5.764258465061666,869.1319182737601,29.048168025140672,82.35294117647058
4,0.0,14,4.609998921780362,762.1165374846391,-38.24431397808933,100.0
4,0.25,14,4.762456217604389,740.0433230439579,-163.42907793062113,100.0
4,0.5,14,5.0023783822206,781.1352690191612,-288.61384188315344,100.0
4,0.75,14,5.314010630804901,876.5535820921933,-413.7986058356847,92.85714285714286
4,1.0,14,6.090957642636412,1011.0320179405784,-538.9833697882166,85.71428571428571
5,0.25,14,5.267156591960655,946.3037451666496,58.216772680136664,92.85714285714286
5,0.0,14,5.394308820914222,897.8008516042179,-26.38778843819403,92.85714285714286
5,0.5,14,5.505067771135681,1011.1126235115133,142.82133379846684,92.85714285714286
5,0.75,14,5.770551434538867,1089.3210027650173,227.42589491679766,92.85714285714286
5,1.0,14,6.078263912062893,1178.2636831534646,312.0304560351281,92.85714285714286
6,0.0,14,6.03369172454003,922.3018983024776,-39.66622694019264,100.0
6,0.25,14,6.03369172454003,922.3018983024776,-39.66622694019264,100.0
6,0.5,14,6.03369172454003,922.3018983024776,-39.66622694019264,100.0
6,0.75,14,6.03369172454003,922.3018983024776,-39.66622694019264,100.0
6,1.0,14,6.03369172454003,922.3018983024776,-39.66622694019264,100.0
7,0.0,8,7.844804722750748,1132.2291055774174,-538.1898643515037,100.0
7,0.25,8,7.901081200341673,1131.9407694961305,-537.656054685981,100.0
7,0.5,8,7.957357677932597,1133.338664314356,-537.1222450204586,100.0
7,0.75,8,8.013634155523524,1136.416567401104,-536.5884353549357,100.0
7,1.0,8,8.06991063311445,1141.1608850416624,-536.0546256894129,100.0
8,0.0,8,8.493400293123301,1270.8801487075716,-846.4498559549822,100.0
8,0.25,8,8.783505273084554,1291.7499536800779,-846.9361705948704,100.0
8,0.5,8,9.073610253045809,1315.1282933810562,-847.4224852347584,100.0
8,0.75,8,9.363715233007063,1340.8839651646365,-847.9087998746463,100.0
8,1.0,8,9.653820212968316,1368.882786357286,-848.3951145145343,100.0
9,1.0,8,7.8541825978084425,1343.4149197604127,-1015.2579876634488,100.0
9,0.75,8,8.194214323588014,1359.8326528251393,-1059.3825722867857,100.0
9,0.5,8,8.534246049367592,1390.2945915772184,-1103.5071569101235,100.0
9,0.25,8,8.903982741309244,1433.9059486846058,-1147.6317415334615,100.0
9,0.0,8,9.440826007204253,1489.512167993991,-1191.7563261567987,100.0
10,0.0,8,11.190499646223136,1603.7282778671474,-1450.961757430071,100.0
10,0.25,8,11.205798834671354,1611.37605514831,-1451.0250853361479,100.0
10,0.5,8,11.221098023119561,1631.1539213575088,-1451.0884132422236,100.0
10,0.75,8,11.23639721156777,1662.6290510497754,-1451.1517411482994,100.0
10,1.0,8,11.251696400015987,1705.1538141204237,-1451.215069054376,100.0
11,0.0,8,12.985082401062654,1715.0777006598273,-1689.317915905134,100.0
11,0.25,8,13.77014020710855,1819.1279572510887,-1794.022573808283,100.0
11,0.5,8,14.555198013154447,1929.7113180120054,-1898.7272317114328,100.0
11,0.75,8,15.340255819200339,2045.7686226291403,-2003.431889614582,100.0
11,1.0,8,16.12531362524623,2166.420315696707,-2108.136547517731,100.0
12,0.0,8,14.216878417563459,1999.99455133904,-1901.9792552171618,100.0
12,0.25,8,14.216878417563459,1999.99455133904,-1901.9792552171618,100.0
12,0.5,8,14.216878417563459,1999.99455133904,-1901.9792552171618,100.0
12,0.75,8,14.216878417563459,1999.99455133904,-1901.9792552171618,100.0
12,1.0,8,14.216878417563459,1999.99455133904,-1901.9792552171618,100.0
