horizon,expert,observations,mae,rmse,mape_pct,bias,directional_accuracy_pct
1,naive,16,424.84183184719893,557.5426682470875,3.5432404099896084,-321.474826388889,0.0
1,arima_5y,16,461.94586259747496,560.4920383873703,3.90862333947172,-279.60225782550935,43.75
1,simple_ensemble,16,481.1748946237168,584.4258028444721,4.014684770635019,-250.15889680863745,56.25
1,arima_10y,16,477.1193256268581,562.256812154537,4.01854889529748,-253.0239480139793,37.5
1,lightgbm_return_10y,16,484.1208764157893,580.5873366507874,4.0341053811963254,-275.0089537793456,37.5
1,elasticnet_8y,16,482.63088161976475,568.9358501028258,4.085797384693637,73.76276513467474,62.5
1,weighted_ensemble,16,489.7630688405468,585.3951707256338,4.088770603266995,-223.39253766238198,56.25
1,arima_8y,16,486.8014518740605,569.4452785835285,4.112464446295707,-254.09297689867492,37.5
1,lightgbm_return_5y,16,498.1882300675528,582.418270334912,4.1549343033715465,-241.71837535030784,37.5
1,lightgbm_return_8y,16,494.93941907751855,565.820551648601,4.160829356999164,-227.101085764029,31.25
1,xgboost_return_5y,16,517.1341317994435,587.8559360402263,4.307847202447102,-135.29888264890326,56.25
1,xgboost_return_10y,16,526.9821692431412,619.658234299873,4.430291826440136,-242.78017464525078,25.0
1,xgboost_return_8y,16,526.1760833774821,589.9422138825754,4.453545885346019,-175.61376236077047,37.5
1,top5_weighted_ensemble,16,549.3239099306961,657.3233103077622,4.630028177127495,-137.04260556593795,43.75
1,top5_simple_ensemble,16,550.2199509785108,658.3738218104836,4.63581148736205,-141.6276498934543,43.75
1,top3_weighted_ensemble,16,552.4965735919017,681.1209716131542,4.678325910800342,-89.48402980621825,50.0
1,top3_simple_ensemble,16,554.9196920790508,683.9157080641505,4.697301470443731,-92.7895086303223,43.75
1,sarimax_5y,16,573.8747218908566,745.0354307197447,4.704947500553557,-107.229892225394,62.5
1,elasticnet_10y,16,604.5917033302361,780.0269384066921,4.987192377178628,-350.6173595363931,62.5
1,ridge_8y,16,606.2490148189988,804.7143620677865,5.087061489100758,431.5724451167184,62.5
1,ridge_10y,16,680.9199628151417,827.4564477591933,5.638000396481642,479.4025094155719,62.5
1,sarimax_10y,16,676.6347349238606,776.6646244466091,5.810183831449418,-89.58487482511964,56.25
1,ridge_5y,16,720.003241187156,884.1987424458209,5.878608203036525,-215.13790722909118,37.5
1,sarimax_8y,16,709.1083957555501,826.4186586098517,6.0133203923008995,-152.30275494235627,37.5
1,lightgbm_8y,16,831.4858132220337,993.9833670465393,6.8497554929633635,-831.4858132220337,31.25
1,elasticnet_5y,16,847.9473618336752,1137.9373697370722,6.876607462968684,-567.4611359991853,43.75
1,lightgbm_10y,16,852.701249460694,1001.18391745765,7.026802491284029,-841.6813806466255,31.25
1,lightgbm_5y,16,927.0170871551319,1100.3586130030576,7.604844238674883,-927.0170871551319,37.5
3,weighted_ensemble,14,684.2117130995665,934.5333841570347,5.676154085185801,-523.312068005782,85.71428571428571
3,simple_ensemble,14,755.2266790954475,1018.9866126782736,6.243634635169112,-690.086110869847,78.57142857142857
3,top3_weighted_ensemble,14,783.6298884834879,1003.7923496037876,6.306119121227625,295.2509492493578,85.71428571428571
3,top3_simple_ensemble,14,789.448386611581,998.7996332372837,6.369070705230219,269.0441177591642,85.71428571428571
3,top5_weighted_ensemble,14,793.0378011989441,917.8802134344205,6.369649960426174,127.8956297134542,85.71428571428571
3,top5_simple_ensemble,14,800.3725358282245,921.1049143882343,6.445372813688621,65.82351721220637,85.71428571428571
3,elasticnet_8y,14,806.4412115331968,950.1939372334971,6.468257695737225,40.371860488936754,85.71428571428571
3,lightgbm_return_10y,14,832.4267946759267,1185.6584892009823,6.848982705355776,-492.9622197034899,64.28571428571429
3,sarimax_10y,14,866.1385314402818,1009.335532213414,7.0304433090539105,-203.21262008361984,78.57142857142857
3,lightgbm_return_8y,14,917.5134418509551,1194.8602410751434,7.353566934576472,-240.24052079033805,85.71428571428571
3,ridge_8y,14,951.4604294782049,1219.3129966058987,7.521655807832114,834.584037964,92.85714285714286
3,lightgbm_return_5y,14,934.278867418106,1225.4965650219804,7.5823702723238,-326.83631759687916,71.42857142857143
3,elasticnet_10y,14,921.3329890094767,1053.8323790422194,7.6206632848159055,-901.2010962994129,57.14285714285714
3,naive,14,948.1848661862639,1178.7833935872172,7.701122688349147,-919.9697301318421,0.0
3,ridge_10y,14,1010.3586932896452,1342.1376993798365,7.8441472694189525,878.8641142153654,92.85714285714286
3,arima_10y,14,962.0199498866779,1150.60179727888,7.873913505389717,-806.8212180814384,57.14285714285714
3,arima_5y,14,973.2734150487444,1161.331067900458,7.982094853144361,-856.0402918261482,50.0
3,arima_8y,14,974.7170973858574,1156.7112457211067,8.003405704937723,-809.4184204175589,57.14285714285714
3,sarimax_5y,14,974.0487683340509,1206.7230183946408,8.016783914600216,-920.8261998875385,42.857142857142854
3,sarimax_8y,14,989.4465726460073,1246.5019412540012,8.079989114536815,-240.17909502963266,78.57142857142857
3,xgboost_return_5y,14,989.4392930202504,1316.9136742975402,8.089782060945161,-497.46507158781645,57.14285714285714
3,xgboost_return_8y,14,1055.5900452823403,1276.9919125365138,8.686011279114728,-344.3532588905113,50.0
3,xgboost_return_10y,14,1107.1654241863102,1382.7803929769962,9.16630881179492,-687.4216776759424,42.857142857142854
3,lightgbm_10y,14,1397.261854176251,1620.11472162188,11.147678735629677,-1397.261854176251,21.428571428571427
3,lightgbm_8y,14,1418.0302612075018,1649.9802482318844,11.349831282219716,-1418.0302612075018,7.142857142857142
3,lightgbm_5y,14,1795.8151618745753,2020.5723848860362,14.43424048746294,-1795.8151618745753,14.285714285714285
3,ridge_5y,14,1966.8032101016859,2163.0820568898857,15.593799719497934,-1966.8032101016859,7.142857142857142
3,elasticnet_5y,14,2110.856226442727,2332.284086730157,16.79499213286845,-2110.856226442727,7.142857142857142
6,ridge_10y,11,746.4540756145497,974.2394891127508,5.7390143778881155,-240.19355115913342,100.0
6,ridge_8y,11,1181.4828055745352,1488.9324392660012,9.273395595210527,-1076.1653485302206,100.0
6,top3_weighted_ensemble,11,1203.2478435749995,1429.5133524892356,9.629454028374532,-849.7842512268312,90.9090909090909
6,top3_simple_ensemble,11,1237.1518919972543,1470.463198725283,9.904557168069934,-911.3772780225386,90.9090909090909
6,top5_weighted_ensemble,11,1304.6085186543178,1511.2886424836563,10.468395285241144,-1030.6095254116656,90.9090909090909
6,top5_simple_ensemble,11,1330.7612332853332,1548.3556160837406,10.689302817291976,-1114.030824559781,90.9090909090909
6,lightgbm_return_8y,11,1390.7259765337953,1653.573306613382,11.158491922932031,-1023.0436403352395,81.81818181818183
6,xgboost_return_8y,11,1553.0552870805432,1746.65373866855,12.404918663711168,-822.6172392718328,81.81818181818183
6,elasticnet_8y,11,1780.3210118832496,1888.6117659541342,14.008631313873748,-1780.3210118832496,72.72727272727273
