model,horizon,origin_date,expert,prior_mae,prior_observations,weight
top3_weighted_ensemble,1,2025-08-31,xgboost_return_5y,324.4547329446029,7,0.32454707520417486
top5_simple_ensemble,1,2025-08-31,naive,303.13583797155246,7,0.2
top5_simple_ensemble,1,2025-08-31,ridge_10y,320.9597235917307,7,0.2
top5_simple_ensemble,1,2025-08-31,xgboost_return_5y,324.4547329446029,7,0.2
top5_simple_ensemble,1,2025-08-31,lightgbm_5y,327.3360145420312,7,0.2
top5_simple_ensemble,1,2025-08-31,xgboost_return_10y,340.1429044839962,7,0.2
top5_weighted_ensemble,1,2025-08-31,naive,303.13583797155246,7,0.21294579253902363
top5_weighted_ensemble,1,2025-08-31,ridge_10y,320.9597235917307,7,0.20112025440943726
top5_weighted_ensemble,1,2025-08-31,xgboost_return_5y,324.4547329446029,7,0.19895379758567022
top5_weighted_ensemble,1,2025-08-31,lightgbm_5y,327.3360145420312,7,0.19720256371515776
top5_weighted_ensemble,1,2025-08-31,xgboost_return_10y,340.1429044839962,7,0.18977759175071116
top3_simple_ensemble,1,2025-09-30,naive,303.60351731601736,8,0.3333333333333333
top3_simple_ensemble,1,2025-09-30,ridge_5y,316.5047102540002,8,0.3333333333333333
top3_simple_ensemble,1,2025-09-30,lightgbm_5y,334.7737865547383,8,0.3333333333333333
top3_weighted_ensemble,1,2025-09-30,naive,303.60351731601736,8,0.34890251601975086
top3_weighted_ensemble,1,2025-09-30,ridge_5y,316.5047102540002,8,0.33468074133600634
top3_weighted_ensemble,1,2025-09-30,lightgbm_5y,334.7737865547383,8,0.31641674264424285
top5_simple_ensemble,1,2025-09-30,naive,303.60351731601736,8,0.2
top5_simple_ensemble,1,2025-09-30,ridge_5y,316.5047102540002,8,0.2
top5_simple_ensemble,1,2025-09-30,lightgbm_5y,334.7737865547383,8,0.2
top5_simple_ensemble,1,2025-09-30,ridge_10y,337.22508519037865,8,0.2
top5_simple_ensemble,1,2025-09-30,xgboost_return_5y,343.5364373316545,8,0.2
top5_weighted_ensemble,1,2025-09-30,naive,303.60351731601736,8,0.21504503647782902
top5_weighted_ensemble,1,2025-09-30,ridge_5y,316.5047102540002,8,0.20627948760608578
top5_weighted_ensemble,1,2025-09-30,lightgbm_5y,334.7737865547383,8,0.19502252589165958
top5_weighted_ensemble,1,2025-09-30,ridge_10y,337.22508519037865,8,0.19360490166197544
top5_weighted_ensemble,1,2025-09-30,xgboost_return_5y,343.5364373316545,8,0.1900480483624502
top3_simple_ensemble,1,2025-10-31,ridge_10y,327.7860191288376,9,0.3333333333333333
top3_simple_ensemble,1,2025-10-31,ridge_8y,328.9949146266491,9,0.3333333333333333
top3_simple_ensemble,1,2025-10-31,elasticnet_8y,329.9046574645789,9,0.3333333333333333
top3_weighted_ensemble,1,2025-10-31,ridge_10y,327.7860191288376,9,0.3344589530201188
top3_weighted_ensemble,1,2025-10-31,ridge_8y,328.9949146266491,9,0.33322997985208264
top3_weighted_ensemble,1,2025-10-31,elasticnet_8y,329.9046574645789,9,0.33231106712779873
top5_simple_ensemble,1,2025-10-31,ridge_10y,327.7860191288376,9,0.2
top5_simple_ensemble,1,2025-10-31,ridge_8y,328.9949146266491,9,0.2
top5_simple_ensemble,1,2025-10-31,elasticnet_8y,329.9046574645789,9,0.2
top5_simple_ensemble,1,2025-10-31,ridge_5y,337.42234317136314,9,0.2
top5_simple_ensemble,1,2025-10-31,naive,352.458067214589,9,0.2
top5_weighted_ensemble,1,2025-10-31,ridge_10y,327.7860191288376,9,0.20444274856008793
top5_weighted_ensemble,1,2025-10-31,ridge_8y,328.9949146266491,9,0.2036915213912198
top5_weighted_ensemble,1,2025-10-31,elasticnet_8y,329.9046574645789,9,0.2031298230382738
top5_weighted_ensemble,1,2025-10-31,ridge_5y,337.42234317136314,9,0.1986041412091495
top5_weighted_ensemble,1,2025-10-31,naive,352.458067214589,9,0.19013176580126917
top3_simple_ensemble,1,2025-11-30,naive,327.68758658008664,10,0.3333333333333333
top3_simple_ensemble,1,2025-11-30,arima_5y,358.1243512242287,10,0.3333333333333333
top3_simple_ensemble,1,2025-11-30,lightgbm_return_10y,363.6988100527407,10,0.3333333333333333
top3_weighted_ensemble,1,2025-11-30,naive,327.68758658008664,10,0.3551140444093773
top3_weighted_ensemble,1,2025-11-30,arima_5y,358.1243512242287,10,0.3249331238596647
top3_weighted_ensemble,1,2025-11-30,lightgbm_return_10y,363.6988100527407,10,0.31995283173095784
top5_simple_ensemble,1,2025-11-30,naive,327.68758658008664,10,0.2
top5_simple_ensemble,1,2025-11-30,arima_5y,358.1243512242287,10,0.2
top5_simple_ensemble,1,2025-11-30,lightgbm_return_10y,363.6988100527407,10,0.2
top5_simple_ensemble,1,2025-11-30,arima_10y,365.6385965859939,10,0.2
top5_simple_ensemble,1,2025-11-30,arima_8y,372.08454459609146,10,0.2
top5_weighted_ensemble,1,2025-11-30,naive,327.68758658008664,10,0.2177281465302353
top5_weighted_ensemble,1,2025-11-30,arima_5y,358.1243512242287,10,0.19922356752155534
top5_weighted_ensemble,1,2025-11-30,lightgbm_return_10y,363.6988100527407,10,0.19617004206562486
top5_weighted_ensemble,1,2025-11-30,arima_10y,365.6385965859939,10,0.19512932040940684
top5_weighted_ensemble,1,2025-11-30,arima_8y,372.08454459609146,10,0.19174892347317754
top3_simple_ensemble,1,2025-12-31,ridge_10y,351.1387851314668,11,0.3333333333333333
top3_simple_ensemble,1,2025-12-31,elasticnet_8y,370.83139637756045,11,0.3333333333333333
top3_simple_ensemble,1,2025-12-31,ridge_5y,385.22497513174363,11,0.3333333333333333
top3_weighted_ensemble,1,2025-12-31,ridge_10y,351.1387851314668,11,0.349844574668688
top3_weighted_ensemble,1,2025-12-31,elasticnet_8y,370.83139637756045,11,0.3312664465149831
top3_weighted_ensemble,1,2025-12-31,ridge_5y,385.22497513174363,11,0.3188889788163288
top5_simple_ensemble,1,2025-12-31,ridge_10y,351.1387851314668,11,0.2
top5_simple_ensemble,1,2025-12-31,elasticnet_8y,370.83139637756045,11,0.2
top5_simple_ensemble,1,2025-12-31,ridge_5y,385.22497513174363,11,0.2
top5_simple_ensemble,1,2025-12-31,naive,389.08059818968917,11,0.2
top5_simple_ensemble,1,2025-12-31,lightgbm_return_10y,399.747812917231,11,0.2
top5_weighted_ensemble,1,2025-12-31,ridge_10y,351.1387851314668,11,0.21554992806363643
top5_weighted_ensemble,1,2025-12-31,elasticnet_8y,370.83139637756045,11,0.20410337586004576
top5_weighted_ensemble,1,2025-12-31,ridge_5y,385.22497513174363,11,0.19647723995503266
top5_weighted_ensemble,1,2025-12-31,naive,389.08059818968917,11,0.1945302341669329
top5_weighted_ensemble,1,2025-12-31,lightgbm_return_10y,399.747812917231,11,0.18933922195435224
top3_simple_ensemble,1,2026-01-31,ridge_10y,365.6373241543112,12,0.3333333333333333
top3_simple_ensemble,1,2026-01-31,elasticnet_8y,382.87915676612846,12,0.3333333333333333
top3_simple_ensemble,1,2026-01-31,ridge_8y,395.59924306805334,12,0.3333333333333333
top3_weighted_ensemble,1,2026-01-31,ridge_10y,365.6373241543112,12,0.3473150937205239
top3_weighted_ensemble,1,2026-01-31,elasticnet_8y,382.87915676612846,12,0.3316747837075443
top3_weighted_ensemble,1,2026-01-31,ridge_8y,395.59924306805334,12,0.3210101225719318
top5_simple_ensemble,1,2026-01-31,ridge_10y,365.6373241543112,12,0.2
top5_simple_ensemble,1,2026-01-31,elasticnet_8y,382.87915676612846,12,0.2
top5_simple_ensemble,1,2026-01-31,ridge_8y,395.59924306805334,12,0.2
top5_simple_ensemble,1,2026-01-31,sarimax_5y,427.9895427488427,12,0.2
top5_simple_ensemble,1,2026-01-31,xgboost_return_5y,432.981313560135,12,0.2
top5_weighted_ensemble,1,2026-01-31,ridge_10y,365.6373241543112,12,0.2184356154304677
top5_weighted_ensemble,1,2026-01-31,elasticnet_8y,382.87915676612846,12,0.20859901228543531
top5_weighted_ensemble,1,2026-01-31,ridge_8y,395.59924306805334,12,0.20189172584544712
top5_weighted_ensemble,1,2026-01-31,sarimax_5y,427.9895427488427,12,0.18661253593568222
top5_weighted_ensemble,1,2026-01-31,xgboost_return_5y,432.981313560135,12,0.18446111050296762
top3_simple_ensemble,1,2026-02-28,elasticnet_8y,420.2967899437966,13,0.3333333333333333
top3_simple_ensemble,1,2026-02-28,naive,437.38752081252085,13,0.3333333333333333
