model,horizon,observations,mae,rmse,mape_pct,smape_pct,bias,directional_accuracy_pct
simple_ensemble,1,19,465.37942849602643,558.1954986378131,4.022534679287187,4.086273232769419,-218.75231349408253,63.1578947368421
weighted_ensemble,1,19,472.61157520493583,559.050222268307,4.084922748872009,4.140483906721143,-196.21222158144624,63.1578947368421
weighted_ensemble,3,17,585.9296603078293,850.1537888257152,4.9074924065296175,5.138300286765999,-453.42407023059496,82.35294117647058
simple_ensemble,3,17,644.4125734809073,926.6219449008063,5.374829330045284,5.67238867759197,-590.7673996480596,76.47058823529412
weighted_ensemble,6,14,1484.079270397837,1779.2017650255248,11.939594606174595,13.030734387227138,-1478.1412015908554,85.71428571428571
simple_ensemble,6,14,1627.4522017301279,1906.8875417499348,13.015321259628399,14.260755713459513,-1627.4522017301279,78.57142857142857
weighted_ensemble,12,8,3395.8555087097247,3427.639375364265,25.451995056767778,29.21533755755561,-3395.8555087097247,100.0
simple_ensemble,12,8,3484.199309768166,3521.2970281693624,26.102076752499364,30.084153789307923,-3484.199309768166,100.0
