feature,category,frequency,aggregation,feature_lag_months,paired_observations,pearson_correlation,abs_pearson_correlation,spearman_correlation,abs_spearman_correlation
world_copper_reserves_ton,usgs,annual,repeat_within_year,12,92,0.7273048506319654,0.7273048506319654,0.6999871005292285,0.6999871005292285
canada_tsx_composite_hudbay_minerals,equities_companies,monthly,as_is,3,137,0.7267714504367538,0.7267714504367538,0.5680456251050087,0.5680456251050087
usd_krw,macro_fred,monthly,as_is,1,139,0.7264361212002465,0.7264361212002465,0.5609097814915768,0.5609097814915768
usa_nyse_mp_materials,equities_companies,monthly,as_is,0,75,0.7254521112690038,0.7254521112690038,0.6741678520625889,0.6741678520625889
world_copper_refinery_production_ton,usgs,annual,repeat_within_year,1,96,0.7250400306728163,0.7250400306728163,0.7003528041388043,0.7003528041388043
usd_krw,macro_fred,monthly,as_is,0,140,0.7250257257065035,0.7250257257065035,0.566158623253373,0.566158623253373
dollar_index,macro_fred,monthly,as_is,12,128,0.7246376968461954,0.7246376968461954,0.7069218091924556,0.7069218091924556
usa_nyse_mp_materials,equities_companies,monthly,as_is,1,74,0.7245749920171083,0.7245749920171083,0.6363717141799332,0.6363717141799332
usd_krw,macro_fred,monthly,as_is,2,138,0.724552395299186,0.724552395299186,0.5600711433392163,0.5600711433392163
usd_jpy,macro_fred,monthly,as_is,0,140,0.7239331315407946,0.7239331315407946,0.6129102796789925,0.6129102796789925
turkey_imports_usd,turkey,monthly,as_is,6,134,0.723114663862863,0.723114663862863,0.7186049701367848,0.7186049701367848
boj_call_rate,global_macro,monthly,as_is,0,140,0.7228568843033412,0.7228568843033412,0.49801228925674057,0.49801228925674057
icsg_refined_production_ton,icsg,annual,repeat_within_year,3,89,0.7195132313668403,0.7195132313668403,0.7145174709850307,0.7145174709850307
usa_nyse_hecla_mining,equities_companies,monthly,as_is,6,134,0.7189014742389378,0.7189014742389378,0.6906544969388646,0.6906544969388646
euro_area_ppi,global_macro,monthly,as_is,3,137,0.718226444044424,0.718226444044424,0.7122571594692307,0.7122571594692307
chile_sulfuric_acid_consumption_ton,chile_cochilco,annual,repeat_within_year,1,120,0.7180267243894068,0.7180267243894068,0.6590764323518896,0.6590764323518896
