date,delivery_month,open_cny_per_ton,high_cny_per_ton,low_cny_per_ton,close_cny_per_ton,settlement_cny_per_ton,pre_settlement_cny_per_ton,volume_lots,open_interest_lots,open_interest_change,turnover
2016-03-16,1605,37200.0,37620.0,37080.0,37570,37360,37350,448986,279816,-686,
2016-03-17,1605,37450.0,37970.0,37370.0,37940,37720,37360,467704,286684,6868,
2016-03-18,1605,37870.0,38690.0,37830.0,38380,38280,37720,800538,300858,14174,
2016-03-21,1605,38300.0,38440.0,37930.0,38160,38190,38280,493144,298568,-2290,
2016-03-22,1605,38180.0,38430.0,38060.0,38150,38250,38190,418080,295066,-3502,
2016-03-23,1605,38200.0,38420.0,38040.0,38160,38230,38250,341424,282902,-12164,
2016-03-24,1605,38110.0,38120.0,37430.0,37630,37650,38230,532272,229948,-52954,
2016-03-25,1605,37490.0,37800.0,37400.0,37750,37620,37650,212472,223332,-6616,
2016-03-28,1605,37750.0,37870.0,37500.0,37510,37720,37620,171106,216036,-7296,
2016-03-29,1605,37600.0,38040.0,37470.0,37570,37710,37720,293616,201452,-14584,
2016-03-30,1605,37580.0,37640.0,36920.0,37040,37320,37710,376980,191042,-10410,
2016-03-31,1606,37040.0,37290.0,36640.0,36860,36890,37260,335052,335806,24340,
2016-04-01,1606,36780.0,37150.0,36730.0,37120,37000,36890,323898,329404,-6402,
2016-04-05,1606,36660.0,36850.0,36500.0,36730,36700,37000,204600,314184,-15220,
2016-04-06,1606,36600.0,36810.0,36550.0,36730,36710,36700,237194,319632,5448,
2016-04-07,1606,36560.0,36880.0,36560.0,36650,36730,36710,260044,329786,10154,
2016-04-08,1606,36400.0,36400.0,35610.0,35760,35870,36730,506212,349294,19508,
2016-04-11,1606,35760.0,36150.0,35730.0,35830,35920,35870,442994,340792,-8502,
2016-04-12,1606,35800.0,36060.0,35600.0,35980,35880,35920,384698,322328,-18464,
2016-04-13,1606,36110.0,37360.0,36040.0,36830,36700,35880,786206,286356,-35972,
2016-04-14,1606,36930.0,37150.0,36780.0,36850,36960,36700,366646,294134,7778,
2016-04-15,1606,37030.0,37130.0,36740.0,36780,36990,36960,357608,295658,1524,
2016-04-18,1606,36690.0,37080.0,36560.0,36610,36820,36990,421168,293264,-2394,
2016-04-19,1606,36770.0,37170.0,36730.0,36940,36910,36820,430730,286746,-6518,
2016-04-20,1606,37010.0,37740.0,36950.0,37360,37400,36910,669188,268236,-18510,
2016-04-21,1606,37520.0,38220.0,37350.0,38100,37750,37400,595434,242330,-25906,
2016-04-22,1606,38400.0,38570.0,37460.0,37970,37950,37750,560744,201826,-40504,
2016-04-25,1606,38110.0,39010.0,37880.0,38120,38320,37950,539090,196302,-5524,
2016-04-26,1606,38150.0,38180.0,37490.0,37700,37830,38320,353214,177638,-18664,
2016-04-27,1606,37650.0,37920.0,37490.0,37630,37710,37830,245034,168264,-9374,
2016-04-28,1606,37690.0,37710.0,37000.0,37250,37260,37710,326618,171264,3000,
2016-04-29,1606,37250.0,37750.0,37160.0,37620,37460,37260,230256,156058,-15206,
2016-05-03,1607,37780.0,37970.0,37420.0,37910,37680,37520,199440,273536,7802,
2016-05-04,1607,37680.0,37780.0,37140.0,37230,37350,37680,325310,297920,24384,
2016-05-05,1607,37220.0,37340.0,36820.0,36840,37060,37350,380366,315360,17440,
2016-05-06,1607,36810.0,36920.0,36330.0,36620,36580,37060,371676,308860,-6500,
2016-05-09,1607,36540.0,36970.0,35780.0,35840,36270,36580,574206,339126,30266,
2016-05-10,1607,35780.0,36080.0,35670.0,35950,35870,36270,384000,324560,-14566,
2016-05-11,1607,35880.0,36080.0,35690.0,35960,35920,35870,328504,334466,9906,
2016-05-12,1607,36080.0,36520.0,35820.0,36240,36150,35920,456792,320998,-13468,
2016-05-13,1607,36240.0,36380.0,35030.0,35480,35560,36150,644522,330664,9666,
2016-05-16,1607,35390.0,35770.0,35120.0,35610,35440,35560,384188,328590,-2074,
2016-05-17,1607,35500.0,35960.0,35500.0,35900,35770,35440,332574,316784,-11806,
2016-05-18,1607,35700.0,35940.0,35290.0,35380,35590,35770,469084,320878,4094,
2016-05-19,1607,35210.0,35640.0,35110.0,35200,35360,35590,402516,307112,-13766,
2016-05-20,1607,35160.0,35440.0,34820.0,35320,35200,35360,391992,300324,-6788,
2016-05-23,1607,35480.0,35570.0,34880.0,35170,35150,35200,433462,292744,-7580,
2016-05-24,1607,35200.0,35370.0,35030.0,35190,35210,35150,304944,277556,-15188,
2016-05-25,1607,35460.0,35700.0,35280.0,35490,35500,35210,350164,259468,-18088,
2016-05-26,1607,35750.0,36080.0,35640.0,36060,35840,35500,302290,248398,-11070,
2016-05-27,1607,36090.0,36210.0,35620.0,35910,35880,35840,305036,232554,-15844,
2016-05-30,1607,36040.0,36090.0,35650.0,35700,35790,35880,220828,216442,-16112,
2016-05-31,1608,35780.0,35990.0,35640.0,35750,35800,35770,173512,321466,18778,
2016-06-01,1608,35810.0,35890.0,35120.0,35190,35480,35800,323974,360438,38972,
2016-06-02,1608,35180.0,35460.0,35070.0,35280,35280,35480,273418,362532,2094,
2016-06-03,1608,35250.0,35760.0,35170.0,35720,35420,35280,296102,351546,-10986,
2016-06-06,1608,36110.0,36300.0,35800.0,36260,36080,35420,318566,346128,-5418,
2016-06-07,1608,36150.0,36300.0,35800.0,35840,36040,36080,267268,335334,-10794,
2016-06-08,1608,35340.0,35390.0,35100.0,35230,35270,36040,331978,356466,21132,
