date,usa_sp500,usa_dow_jones,usa_nasdaq_composite,china_csi300,chile_ipsa,peru_bvl_general,germany_dax,japan_nikkei225,india_nifty50,south_korea_kospi,indonesia_jakarta_composite,turkey_bist100,uk_ftse100,hong_kong_hang_seng,australia_asx200,canada_tsx_composite,poland_wig20
2015-01-01,2028.1785095214843,17542.2548828125,4673.701489257813,3543.286,3798.637619047619,13669.78,10138.389601934523,17274.39967105263,8529.45751953125,1920.9928501674108,5220.721400669643,885.4350004650298,6615.071405319941,24203.401506696428,5422.65,14460.890625,2308.736
2015-02-01,2082.1957943564967,17945.412006578947,4854.255833675987,3440.7933333333335,3960.0730000000003,13397.42,10977.139599609374,18053.204461348683,8742.465666118422,1961.0011704388787,5360.560598273027,857.2532012939453,6878.540063476563,24670.384331597223,5840.62001953125,15155.010536595395,2348.4995
2015-03-01,2079.9904396750712,17931.745028409092,4938.01045365767,3745.277272727273,3892.593636363636,12461.81,11784.850452769886,19197.567737926136,8664.062034970239,2012.6190962357955,5443.517356178977,808.9411371404475,6884.504572088068,24306.7587890625,5888.3818359375,14921.581898082386,2358.1254545454544
2015-04-01,2094.862839471726,17970.513206845237,4985.951427641369,4491.864761904762,4029.9538095238095,13366.86,11956.288037109374,19767.923363095237,8511.441623263889,2107.2681607333097,5398.452427455357,833.0248064313616,7012.394970703125,27451.533717105263,5903.409985351563,15299.271298363095,2477.827
2015-05-01,2111.9435180664063,18124.7130859375,5029.431469726563,4772.466,4079.4794736842105,13180.61,11599.093698601973,19974.187391493055,8300.805029296875,2114.8988986545137,5232.375770970395,850.3814279656661,6981.6841848273025,27656.15943667763,5705.261951264881,15127.229931640624,2507.134
2015-06-01,2099.2836581143465,17927.21892755682,5073.041836825284,4989.597142857143,3935.5799999999995,13113.17,11236.29580965909,20403.840287642044,8195.606800426136,2063.6859075372868,4967.9579845610115,814.755595814098,6783.177268288352,27009.028586647728,5563.952334449405,14835.913618607954,2353.7228571428573
2015-07-01,2094.1436268199573,17795.0166015625,5082.809969815341,4016.6726086956523,3847.2559090909094,11987.88,11288.050441576086,20372.583984375,8479.51515794837,2058.0343495244565,4856.701043379934,808.6093195134944,6646.617378566576,25032.191139914772,5587.013077445652,14436.422718394886,2240.2069565217394
2015-08-01,2039.8662051246279,17061.593238467263,4934.622860863095,3718.965714285714,3793.167619047619,10340.55,10817.977632068452,19919.090401785714,8309.923804873511,1952.549005126953,4540.91640625,762.5442388625372,6455.955004882812,23223.220052083332,5372.119047619048,14010.420068359375,2177.107619047619
2015-09-01,1944.4023844401042,16339.949869791666,4748.004324776785,3284.9584999999997,3753.3776190476187,10030.57,9953.261896306818,17944.223170230263,7814.889990234375,1939.582501220703,4326.606166294643,734.6215057373047,6087.336381392045,21365.1294921875,5075.700017755682,13477.614350818452,2135.9145454545455
2015-10-01,2024.8127163973722,17182.28204900568,4879.03682084517,3494.804705882353,3814.769523809524,10545.69,10222.30948153409,18374.10574776786,8172.32255859375,2020.5671561104912,4517.297084263393,786.0456165132068,6340.81815962358,22649.309375,5236.636363636364,13751.94298735119,2103.9936363636366
2015-11-01,2080.61650390625,17724.513671875,5082.508032226562,3717.964285714286,3794.4866666666667,10226.89,10986.275809151786,19581.77066200658,7891.116672092014,2006.7809419177827,4518.5229724702385,803.1768566313244,6306.909528459822,22509.50427827381,5171.604794456845,13424.185732886905,2001.0134999999998
2015-12-01,2054.0795621004972,17542.854936079544,5040.5400390625,3730.2413043478264,3612.0425000000005,9848.59,10673.0138671875,19202.57691592262,7802.638649680398,1971.528576078869,4501.933156866777,734.5194755222486,6162.319056919643,21910.18048650568,5135.676223028274,13115.161830357143,1841.7125
2016-01-01,1918.5978875411183,16305.252107319078,4610.7142526726975,3178.5295,3547.4534999999996,9391.84,9827.091943359375,17302.297388980263,7513.394659745066,1894.6510009765625,4520.57744140625,711.8260955810547,5922.669970703125,19733.57861328125,4976.0,12361.010009765625,1735.2857894736842
2016-02-01,1904.4184936523438,16299.8984375,4463.206030273437,2998.3725,3689.2533333333336,10742.19,9291.378627232143,16346.96103515625,7199.86669921875,1900.6099989149307,4708.73583984375,731.6544770740327,5881.747628348215,19134.44943576389,4910.390485491072,12632.435107421876,1799.7595238095237
2016-03-01,2021.9540904651988,17302.14275568182,4754.479114879261,3122.058260869565,3870.332727272727,12057.93,9859.880440848214,16897.340465198864,7550.094995117188,1976.50273548473,4836.206263950893,799.7546943996264,6157.533342633928,20299.827194940477,5107.790480840774,13382.099920099432,1915.2476190476189
2016-04-01,2075.5352318173364,17844.365885416668,4892.168108258928,3210.231,3955.8938095238095,13702.47,10023.21665736607,16543.467431640624,7786.516655815973,1996.1704956054687,4852.813918340774,845.6318068731399,6271.895205543155,20986.44912109375,5097.075024414063,13650.362025669643,1932.932857142857
2016-05-01,2065.5504789806546,17692.32003348214,4788.235235305059,3100.617619047619,3977.262272727273,13535.97,10010.547665550595,16612.673159950657,7871.856778231534,1966.675518798828,4769.570043945312,785.4501429966518,6164.894946289062,20173.978422619046,5341.649968927557,13851.876162574405,1835.777
2016-06-01,2083.891368519176,17754.867808948864,4856.232688210227,3130.5105,3970.9452380952384,13856.9,9859.148659446022,16068.810813210228,8191.19775390625,1977.0295119512648,4870.630149147727,768.8906804865056,6175.304554332386,20646.39722842262,5246.109514508928,14042.44091796875,1782.8395454545455
2016-07-01,2148.9019775390625,18341.182421875,5023.98896484375,3231.7647619047616,4082.4985714285713,15210.97,9960.520972842261,16168.31962890625,8505.612548828125,2002.4828462146577,5166.245422363281,770.2406107584635,6655.876162574405,21497.7853515625,5403.3857421875,14446.064990234376,1761.1819047619047
2016-08-01,2177.482167119565,18495.1875,5217.038319463315,3290.1821739130437,4139.674090909091,15130.24,10530.252590013586,16586.070401278408,8638.911876860118,2036.656366521662,5401.395463423295,772.1019120649858,6821.69999556108,22663.944868607956,5519.552161175272,14680.818181818182,1811.685909090909
2016-09-01,2157.690964471726,18267.402994791668,5254.154296875,3279.0809999999997,4083.6471428571426,15296.98,10504.490900213068,16737.04140625,8783.32509765625,2042.555265727796,5336.977980840774,774.8143920898438,6813.754505504261,23543.013857886905,5357.872713955966,14633.966703869048,1754.1645454545455
2016-10-01,2143.0209379650296,18184.546409970237,5255.989560081845,3323.916875,4179.046315789474,15171.04,10624.158544921875,17044.5103515625,8669.027777777777,2036.0325134277343,5405.800525483631,782.2706676664807,7011.209519159226,23406.068462171053,5422.880905877976,14718.17490234375,1759.1909523809525
2016-11-01,2164.9856887090773,18697.326636904763,5260.565243675595,3430.695909090909,4209.846190476191,15414.97,10595.529962713068,17689.540087890626,8250.749976748511,1981.7463656338778,5245.672940340909,753.9028209339489,6803.33183149858,22618.890891335228,5345.109064275568,14821.927379261364,1772.2475
