date,usa_sp500_freeport_mcmoran,usa_sp500_southern_copper,uk_ftse100_antofagasta,uk_ftse100_glencore,australia_asx200_bhp,australia_asx200_rio_tinto,germany_dax_aurubis,poland_wig20_kghm,hong_kong_hang_seng_zijin_mining,china_csi300_jiangxi_copper,canada_tsx_composite_teck_resources,canada_tsx_composite_lundin_mining,canada_tsx_composite_first_quantum_minerals,canada_tsx_composite_hudbay_minerals,canada_tsx_composite_capstone_copper,usa_nyse_mp_materials,usa_nyse_hecla_mining
2015-01-01,20.285500049591064,25.77479944229126,702.7857142857143,264.48333522251676,23.628929805755615,56.70000019073486,46.8769044421968,106.69090860540217,2.4190476054237005,18.12350015640259,15.363809540158226,4.811428569612049,13.967142740885416,9.300476096925282,1.5214285509926933,,3.143999969959259
2015-02-01,20.022105467946904,28.112967340569746,727.475,281.47000274658205,26.641308784484863,61.93250045776367,51.703499984741214,115.32250022888184,2.311666634347704,17.522666676839194,18.792105223003187,5.1931579238490055,13.735263071562114,10.270526384052477,1.3584210496199758,,3.336315757349918
2015-03-01,19.110909028486773,27.756768746809527,722.7272727272727,290.390907981179,26.009756955233488,58.815909125588156,54.006818077780984,118.12272748080167,2.240000020373951,19.60136352885853,18.293181852860883,5.1636363809758965,14.729545506564053,9.921818169680508,1.2472727352922612,,3.074090903455561
2015-04-01,20.209047499157133,28.47098123459589,754.675,298.64749908447266,25.507246494293213,56.43650016784668,56.14500007629395,119.86818105524236,2.989473719345896,22.419047491891043,17.10999988374256,5.195714292072115,16.67190474555606,10.855238097054619,1.3676190603347051,,3.163809503827776
2015-05-01,22.033999919891357,30.245407390594483,780.3421052631579,297.8710535952919,26.562544050670805,58.100476582845054,57.44894750494706,126.13571348644439,3.0626315945073177,23.298999977111816,16.68300004005432,6.04350004196167,17.592500114440917,11.70600004196167,1.4449999988079072,,3.1264999866485597
2015-06-01,19.801363598216664,28.776040077209473,725.7272727272727,275.7863610007546,24.979752404349192,56.024761926560174,53.925000104037196,112.49318209561434,2.8909090865742075,26.093809581938245,13.879090916026723,5.499090931632302,17.24727283824574,11.293181852860885,1.2359090935100208,,2.951363617723638
2015-07-01,15.276363676244562,26.714283336292613,635.8260869565217,234.17608775263247,23.445983555005945,52.193043252696164,52.89869540670644,99.24347852623981,2.249545444141735,16.3226086989693,10.877272692593662,4.816363594748757,13.921818169680508,9.232727289199829,1.0845454389398748,,2.316363648934798
2015-08-01,10.118095170883905,25.483280272710893,575.05,173.71500091552736,22.399265834263392,51.07952408563523,56.86571430024647,86.44190579368954,2.101428571201506,15.695714269365583,8.914999985694886,4.391999995708465,8.292500019073486,7.112500023841858,0.7254999935626983,,2.0619047596341087
2015-09-01,10.435714222135998,25.598122642153786,565.1318192915483,118.64545475352894,21.166609850796785,49.87954538518732,56.94636379588734,81.90545411543413,2.00349999666214,13.799499988555908,7.910000006357829,4.096666665304275,6.41523806254069,6.014285723368327,0.5595238166196006,,1.998095228558495
2015-10-01,12.125454512509434,27.053037470037285,555.6818181818181,114.66454592618075,21.58388753370805,52.416363802823156,59.205909035422586,91.47818097201261,2.212500011920929,14.345882359672995,8.212857110159737,4.495714255741665,7.273333367847261,6.544285728817894,0.6052380956354595,,2.307727266441692
2015-11-01,9.446000099182129,25.15769100189209,503.2428574335007,101.11380913144066,18.507760365804035,48.572857084728426,59.60904766264416,81.13476235525948,1.9885714054107666,15.255238124302455,6.395714328402565,3.85285716965085,5.700476192292713,5.945714269365583,0.4799999935286386,,1.9560000061988831
2015-12-01,6.997727220708674,24.263474811207164,453.95238240559894,86.8500006539481,15.644867897033691,43.9254545731978,51.49238114129929,62.88304353796917,1.9781818173148416,15.792173883189326,5.055714289347331,3.7042857011159263,4.802857149214971,5.346190429869152,0.38190475957734243,,1.9577272696928545
2016-01-01,4.698421064176057,22.675344567549857,382.9650024414062,80.55300025939941,13.790071838780454,40.01157921238949,43.79525012969971,55.41263138620477,1.8685000002384187,13.380999994277953,4.765999960899353,3.3085000038146974,3.4044999837875367,3.437499988079071,0.3365000024437904,,1.742631567151923
2016-02-01,6.157999920845032,23.76411361694336,444.9238063267299,107.36904725574311,14.193522771199545,41.37000020345052,39.94476191202799,62.33380980718704,2.134444442060259,13.081874907016754,6.798000001907349,3.5290000200271607,3.925,3.1239999890327455,0.3625000029802322,,2.252999985218048
